"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"WTR","M3","WTR_8352_V58_M","West Trenton","8352","8352","005327","0","1"
"WTR","M2","WTR_3855_V1_M","Center City Philadelphia","3855","3855","327005","1","1"
"PAO","M3","PAO_551_V37_M","Malvern","551","551","005505","1","1"
"WIL","M4","WIL_2283_V88_M","Marcus Hook","2283","2283","1004205","1","1"
"WTR","M1","WTR_3549_V52_M","Center City Philadelphia","3549","3549","327005","1","1"
"PAO","M1","PAO_9552_V50_M","Temple University","9552","9552","501007","0","1"
"PAO","M1","PAO_9513_V23_M","Malvern","9513","9513","007505","1","1"
"LAN","M2","LAN_546_V26_M","Doylestown","546","546","005538","0","1"
"AIR","M1","AIR_4420_V88_M","Eastwick","4420","4420","4011004","0","1"
"WTR","M2","WTR_8336_V1_M","West Trenton","8336","8336","005327","0","1"
"MED","M1","MED_3324_V88_M","49th Street","3324","3324","300314","0","1"
"WIL","M1","WIL_2236_V88_M","Darby","2236","2236","2011004","0","1"
"FOX","M1","FOX_4834_V55_M","Fox Chase","4834","4834","004815","0","1"
"NOR","M1","NOR_2333_V50_M","Gray 30th Street","2333","2333","228004","1","1"
"TRE","M1","TRE_9701_V51_M","Trenton","9701","9701","007701","1","1"
"WAR","M3","WAR_458_V37_M","Warminster","458","458","004417","0","1"
"MED","M1","MED_3316_V88_M","49th Street","3316","3316","300314","0","1"
"PAO","M3","PAO_554_V37_M","Center City Philadelphia","554","554","505005","0","1"
"WAR","M3","WAR_410_V37_M","Warminster","410","410","004417","0","1"
"PAO","M1","PAO_9553_V55_M","Malvern","9553","9553","007505","1","1"
"MED","M3","MED_3326_V77_M","Swarthmore","3326","3326","300305","0","1"
"WTR","M2","WTR_3847_V1_M","Center City Philadelphia","3847","3847","327005","1","1"
"MED","M3","MED_3314_V77_M","Swarthmore","3314","3314","300305","0","1"
"WAR","M2","WAR_448_V63_M","Glenside","448","448","004411","0","1"
"WTR","M1","WTR_5348_V51_M","West Trenton","5348","5348","005327","0","1"
"WAR","M1","WAR_408_V50_M","Warminster","408","408","004417","0","1"
"AIR","M1","AIR_4448_V88_M","Eastwick","4448","4448","4011004","0","1"
"AIR","M1","AIR_4412_V88_M","Eastwick","4412","4412","4011004","0","1"
"MED","M3","MED_3310_V77_M","Swarthmore","3310","3310","300305","0","1"
"WAR","M1","WAR_473_V50_M","Gray 30th Street","473","473","417004","1","1"
"CHE","M3","CHE_730_V37_M","Chestnut Hill East","730","730","005720","0","1"
"WTR","M1","WTR_6307_V55_M","Gray 30th Street","6307","6307","327004","1","1"
"CHE","M2","CHE_4702_V86_M","Chestnut Hill East","4702","4702","004720","0","1"
"WAR","M3","WAR_468_V37_M","Warminster","468","468","004417","0","1"
"WAR","M2","WAR_445_V25_M","Gray 30th Street","445","445","417004","1","1"
"WIL","M1","WIL_2232_V88_M","Darby","2232","2232","2031004","0","1"
"MED","M1","MED_3312_V88_M","49th Street","3312","3312","300314","0","1"
"WTR","M1","WTR_8338_V55_M","West Trenton","8338","8338","005327","0","1"
"MED","M1","MED_3348_V88_M","49th Street","3348","3348","300314","0","1"
"LAN","M1","LAN_5227_V51_M","Gray 30th Street","5227","5227","538004","1","1"
"WAR","M1","WAR_437_V50_M","Gray 30th Street","437","437","417004","1","1"
"LAN","M1","LAN_5211_V51_M","Gray 30th Street","5211","5211","538004","1","1"
"TRE","M2","TRE_9701_V26_M","Trenton","9701","9701","007701","1","1"
"PAO","M1","PAO_9556_V50_M","Temple University","9556","9556","505007","0","1"
"PAO","M2","PAO_563_V26_M","Thorndale","563","563","005501","1","1"
"WTR","M1","WTR_3561_V52_M","Center City Philadelphia","3561","3561","327005","1","1"
"AIR","M1","AIR_4424_V88_M","Eastwick","4424","4424","4011004","0","1"
"CHE","M3","CHE_710_V37_M","Chestnut Hill East","710","710","005720","0","1"
"LAN","M3","LAN_570_V37_M","Doylestown","570","570","005538","0","1"
"PAO","M1","PAO_9521_V23_M","Malvern","9521","9521","007505","1","1"
"CHW","M1","CHW_8242_V58_M","Center City Philadelphia","8242","8242","801005","0","1"
"CHW","M1","CHW_9831_V55_M","Chestnut Hill West","9831","9831","007801","1","1"
"NOR","M3","NOR_208_V37_M","Norristown - Elm Street","208","208","004228","0","1"
"AIR","M1","AIR_4416_V88_M","Eastwick","4416","4416","4011004","0","1"
"PAO","M1","PAO_9517_V23_M","Thorndale","9517","9517","007501","1","1"
"PAO","M1","PAO_9512_V85_M","Temple University","9512","9512","505007","0","1"
"MED","M3","MED_3322_V77_M","Swarthmore","3322","3322","300305","0","1"
"NOR","M2","NOR_227_V27_M","Gray 30th Street","227","227","228004","1","1"
"FOX","M1","FOX_8415_V55_M","Gray 30th Street","8415","8415","815004","1","1"
"WAR","M1","WAR_417_V50_M","Gray 30th Street","417","417","417004","1","1"
"FOX","M1","FOX_4830_V55_M","Fox Chase","4830","4830","004815","0","1"
"MED","M1","MED_3320_V88_M","49th Street","3320","3320","300314","0","1"
"LAN","M1","LAN_5205_V51_M","Gray 30th Street","5205","5205","538004","1","1"
"PAO","M1","PAO_9595_V55_M","Thorndale","9595","9595","007501","1","1"
"MED","M1","MED_3347_V88_M","Wawa","3347","3347","314300","1","1"
"CHW","M1","CHW_9830_V55_M","Temple University","9830","9830","801007","0","1"
"WAR","M1","WAR_6432_V55_M","Glenside","6432","6432","004411","0","1"
"AIR","M1","AIR_4443_V88_M","Airport Terminal E F","4443","4443","1004401","1","1"
"WAR","M1","WAR_436_V50_M","Warminster","436","436","004417","0","1"
"PAO","M1","PAO_2507_V5_M","Bryn Mawr","2507","2507","005516","1","1"
"WAR","M1","WAR_452_V50_M","Warminster","452","452","004417","0","1"
"MED","M3","MED_3311_V77_M","Wawa","3311","3311","305300","1","1"
"MED","M3","MED_3327_V77_M","Wawa","3327","3327","305300","1","1"
"WIL","M2","WIL_2224_V66_M","Darby","2224","2224","2031004","0","1"
"NOR","M2","NOR_6270_V26_M","Norristown - Elm Street","6270","6270","004228","0","1"
