"route_id","service_id","trip_id","trip_headsign","direction_id","wheelchair_accessible","bikes_allowed"
1,1,11000,"From Philadelphia",0,1,1
1,1,11100,"From Philadelphia",0,1,1
1,1,11200,"From Philadelphia",0,1,1
1,1,11300,"From Philadelphia",0,1,1
1,1,11400,"From Philadelphia",0,1,1
1,1,11500,"From Philadelphia",0,1,1
1,1,11600,"From Philadelphia",0,1,1
1,1,11700,"From Philadelphia",0,1,1
1,1,11800,"From Philadelphia",0,1,1
1,1,20930,"From Camden",1,1,1
1,1,21030,"From Camden",1,1,1
1,1,21130,"From Camden",1,1,1
1,1,21230,"From Camden",1,1,1
1,1,21330,"From Camden",1,1,1
1,1,21430,"From Camden",1,1,1
1,1,21530,"From Camden",1,1,1
1,1,21630,"From Camden",1,1,1
1,1,21730,"From Camden",1,1,1
1,2,11900,"From Philadelphia",0,1,1
1,2,12000,"From Philadelphia",0,1,1
1,2,12100,"From Philadelphia",0,1,1
1,2,12200,"From Philadelphia",0,1,1
1,2,12300,"From Philadelphia",0,1,1
1,2,21830,"From Camden",1,1,1
1,2,21930,"From Camden",1,1,1
1,2,22030,"From Camden",1,1,1
1,2,22130,"From Camden",1,1,1
1,2,22230,"From Camden",1,1,1
1,2,22330,"From Camden",1,1,1
