"stop_id","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","wheelchair_boarding"
"20TH","20th_St","","39.9558333","-75.1766667","","",""
"90004","Gray 30th Street","","39.9566667","-75.1816667","C","","1"
"90314","49th Street","","39.9436111","-75.2166667","1","","1"
"60THN","60th Street North","","39.9288889","-75.2280556","","",""
"60THS","60th Street South","","39.9272222","-75.2269444","","",""
"90THN","90th Street North","","39.8797222","-75.2588889","","",""
"90539","9TH Street Lansdale","","40.2500000","-75.2791667","","","1"
"90404","Airport Terminal A","","39.8761111","-75.2452778","5","","1"
"90313","Angora","","39.9447222","-75.2386111","1","","2"
"90403","Airport Terminal B","","39.8772222","-75.2413889","5","","1"
"90402","Airport Terminal C D","","39.8780556","-75.2400000","5","","1"
"90401","Airport Terminal E F","","39.8794444","-75.2397222","5","","1"
"90218","Allegheny","","40.0036111","-75.1647222","1","","2"
"90804","Richard Allen Lane","","40.0575000","-75.1947222","2","","1"
"90526","Ambler","","40.1536111","-75.2247222","3","","1"
"APJCT","Airport Jct","","39.8769444","-75.2511111","","",""
"90412","Ardsley","","40.1141667","-75.1530556","3","","1"
"ARSNL","Arsenal","","39.9452778","-75.2080556","","",""
"90518","Ardmore","","40.0083333","-75.2902778","2","","2"
"BACON","Bacon","","39.6611111","-75.8177778","","",""
"90002","Bala","","40.0011111","-75.2277778","2","","1"
"BALDWIN","Baldwin","","39.8683333","-75.3336111","","",""
"BERRY","Berry","","39.9711111","-75.2000000","","",""
"90508","Berwyn","","40.0480556","-75.4422222","4","","1"
"BETH","Beth","","40.1172222","-75.0661111","","",""
"90516","Bryn Mawr","","40.0219444","-75.3163889","3","","2"
"BO","Tabor Jct","","40.0422222","-75.1336111","","",""
"BRANDY","Brandy","","39.7302778","-75.5661111","","",""
"90710","Bridesburg","","40.0105556","-75.0697222","2","","2"
"BRIDGE","Bridge","","40.1155556","-75.3472222","","",""
"BRILL","Brill","","39.9377778","-75.2219444","","",""
"BROAD","Broad","","39.9552778","-75.1738889","","",""
"BROWN","Brown","","39.9661111","-75.1569444","","",""
"90703","Bristol","","40.1047222","-74.8547222","4","","2"
"90318","Bethayres","","40.1166667","-75.0683333","3","","1"
"CANE","Cane","","39.9144444","-75.3133333","","",""
"90805","Carpenter","","40.0511111","-75.1913889","2","","2"
"90720","Chestnut Hill East","","40.0811111","-75.2072222","2","","2"
"90309","Clifton-Aldan","","39.9266667","-75.2902778","2","","2"
"CH-LAN CO","Ches-Lanc County Line","","39.9858333","-76.0819444","","",""
"90535","Chalfont","","40.2877778","-75.2097222","5","","1"
"90202","Churchman's Crossing","","39.6950000","-75.6725000","5","","1"
"90808","Chelten Avenue","","40.0300000","-75.1808333","1","","2"
"CHELT","Chelt Interlocking","","40.0555556","-75.0980556","","",""
"CHEY","Cheyney","","39.9305556","-75.5177778","","",""
"90813","Cheltenham","","40.0580556","-75.0927778","1","","1"
"90207","Chester","","39.8497222","-75.3600000","3","","1"
"CHWINT","Chestnut Hill West Int","","40.0750000","-75.2088889","2","",""
"90204","Claymont","","39.8041667","-75.4458333","4","","1"
"CLIVE","Clive","","40.0463889","-75.1905556","","",""
"CNTY","County Interlocking","","40.2763889","-75.2422222","","",""
"90533","Colmar","","40.2683333","-75.2544444","5","","1"
"90225","Conshohocken","","40.0727778","-75.3105556","3","","2"
"CORK","Cork","","40.2211111","-76.7044444","","",""
"90706","Cornwells Heights","","40.0716667","-74.9522222","3","","1"
"CP-DOYLE","CP Doyle","","40.3050000","-75.1316667","","",""
"CP-FOREST","CP Forest","","40.2911111","-75.1994444","","",""
"CP-LINK","CP Link","","40.2750000","-75.2444444","","",""
"CPNELW","CP North Elwyn","","39.9080556","-75.4102778","","",""
"CPSELW","CP South Elwyn","","39.9063889","-75.4144444","","",""
"CRESHEIM","Cresheim","","40.0616667","-75.1994444","","",""
"90209","Crum Lynne","","39.8719444","-75.3311111","3","","2"
"90704","Croydon","","40.0936111","-74.9066667","4","","1"
"90414","Crestmont","","40.1333333","-75.1186111","3","","1"
"90216","Curtis Park","","39.9080556","-75.2650000","2","","2"
"90801","Chestnut Hill West","","40.0763889","-75.2083333","2","","1"
"90001","Cynwyd","","40.0066667","-75.2316667","2","","1"
"CYN","CP-Cyn","","40.0063889","-75.2313889","","",""
"DALE","Dale","","40.2411111","-75.2841667","","",""
"90507","Daylesford","","40.0430556","-75.4605556","4","","2"
"90217","Darby","","39.9130556","-75.2544444","2","","2"
"DAVIS","Davis","","39.6727778","-75.7427778","","",""
"DE-MD","Delaware Maryland StLine","","39.6663889","-75.7766667","","",""
"DEL-CHES-C","Del-Ches County Line","","40.0488889","-75.4005556","","",""
"90509","Devon","","40.0472222","-75.4227778","4","","2"
"90537","Delaware Valley College","","40.2972222","-75.1616667","5","","1"
"90502","Downingtown","","40.0022222","-75.7102778","5","","2"
"DOWNS","Downs","","40.0033333","-75.7050000","","",""
"DOYL YARD","Doylestown Yard","","40.3066667","-75.1277778","","",""
"DRIVE","Drive","","40.0155556","-75.2063889","","",""
"90538","Doylestown","","40.3063889","-75.1302778","5","","1"
