"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"NOR","M1","NOR_3218_V85_M","Norristown - Elm Street","3218","3218","005228","0","1"
"NOR","M4","NOR_4256_W13_M","Norristown - Elm Street","4256","4256","005228","0","1"
"TRE","M1","TRE_716_V51_M","Center City Philadelphia","716","716","701005","0","1"
"CHW","M7","CHW_846_W75_M","Center City Philadelphia","846","846","801005","0","1"
"WAR","M9","WAR_4415_M77_M","Glenside","4415","4415","417411","1","1"
"WIL","M7","WIL_9227_W11_M","Newark","9227","9227","005201","1","1"
"FOX","M8","FOX_8571_M13_M","Center City Philadelphia","8571","8571","815005","1","1"
"AIR","M7","AIR_9447_W11_M","Airport Terminal E F","9447","9447","007401","1","1"
"MED","M6","MED_2321_C50_M","Wawa","2321","2321","005300","1","1"
"CHE","M7","CHE_729_W51_M","Center City Philadelphia","729","729","720005","1","1"
"NOR","M3","NOR_2465_V14_M","Center City Philadelphia","2465","2465","228005","1","1"
"AIR","M8","AIR_4224_M13_M","Center City Philadelphia","4224","4224","401005","0","1"
"AIR","M8","AIR_4208_M13_M","Center City Philadelphia","4208","4208","401005","0","1"
"NOR","M7","NOR_3228_W53_M","Norristown - Elm Street","3228","3228","005228","0","1"
"WAR","M6","WAR_6480_C55_M","Warminster","6480","6480","004417","0","1"
"AIR","M1","AIR_9459_V75_M","Airport Terminal E F","9459","9459","007401","1","1"
"AIR","M1","AIR_9446_V75_M","Temple University","9446","9446","401007","0","1"
"WIL","M3","WIL_7209_V77_M","Wilmington","7209","7209","005203","1","1"
"NOR","M8","NOR_2413_M13_M","Center City Philadelphia","2413","2413","228005","1","1"
"WAR","M1","WAR_441_V50_M","Center City Philadelphia","441","441","417005","1","1"
"TRE","M8","TRE_1718_M13_M","Jefferson Station","1718","1718","701006","0","1"
"CHE","M6","CHE_6721_C75_M","Gray 30th Street","6721","6721","720004","1","1"
"PAO","M3","PAO_9559_V14_M","Malvern","9559","9559","007505","1","1"
"LAN","M5","LAN_5321_W14_M","Center City Philadelphia","5321","5321","538005","1","1"
"LAN","M3","LAN_3570_V14_M","Doylestown","3570","3570","005538","0","1"
"WAR","M4","WAR_4407_W1_M","Center City Philadelphia","4407","4407","411005","1","1"
"MED","M1","MED_9349_V85_M","Wawa","9349","9349","007300","1","1"
"WTR","M6","WTR_3553_C52_M","Center City Philadelphia","3553","3553","327005","1","1"
"WAR","M7","WAR_6470_W11_M","Warminster","6470","6470","004417","0","1"
"AIR","M3","AIR_2409_V14_M","Airport Terminal E F","2409","2409","005401","1","1"
"LAN","M7","LAN_6564_W11_M","Doylestown","6564","6564","004538","0","1"
"WAR","M8","WAR_4458_M67_M","Warminster","4458","4458","411417","0","1"
"MED","M6","MED_9345_C51_M","Wawa","9345","9345","007300","1","1"
"WIL","M6","WIL_5217_C51_M","Wilmington","5217","5217","005203","1","1"
"WAR","M9","WAR_4450_M77_M","Warminster","4450","4450","411417","0","1"
"CYN","M1","CYN_1059_V5_M","Cynwyd","1059","1059","005001","1","1"
"LAN","M5","LAN_3530_W14_M","Doylestown","3530","3530","005538","0","1"
"LAN","M7","LAN_9231_W11_M","Center City Philadelphia","9231","9231","008005","1","1"
"WTR","M5","WTR_3819_W14_M","Center City Philadelphia","3819","3819","327005","1","1"
"AIR","M8","AIR_9467_M34_M","Airport Terminal E F","9467","9467","007401","1","1"
"AIR","M9","AIR_4268_M14_M","Center City Philadelphia","4268","4268","401005","0","1"
"WAR","M4","WAR_4463_W1_M","Center City Philadelphia","4463","4463","411005","1","1"
"WAR","M3","WAR_4411_V2_M","Center City Philadelphia","4411","4411","411005","1","1"
"FOX","M6","FOX_814_C75_M","Fox Chase","814","814","005815","0","1"
"AIR","M5","AIR_4406_W2_M","Center City Philadelphia","4406","4406","401005","0","1"
"LAN","M1","LAN_5229_V51_M","Center City Philadelphia","5229","5229","538005","1","1"
"WAR","M5","WAR_4414_W2_M","Glenside","4414","4414","005411","0","1"
"LAN","M1","LAN_6513_V53_M","Gray 30th Street","6513","6513","538004","1","1"
"NOR","M9","NOR_2417_M14_M","Center City Philadelphia","2417","2417","228005","1","1"
