route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
CYN,SID185189,CYN1052_20260330_SID185189,Suburban Station,0,1052,001005,2,1,CYN1052
CYN,SID185189,CYN1055_20260330_SID185189,Cynwyd,1,1055,005001,2,1,CYN1055
CYN,SID185189,CYN1056_20260330_SID185189,Suburban Station,0,1056,001005,2,1,CYN1056
CYN,SID185189,CYN1059_20260330_SID185189,Cynwyd,1,1059,005001,2,1,CYN1059
CYN,SID185189,CYN1060_20260330_SID185189,Suburban Station,0,1060,001005,2,1,CYN1060
CYN,SID185189,CYN1071_20260330_SID185189,Cynwyd,1,1071,005001,0,1,CYN1071
CYN,SID185189,CYN1072_20260330_SID185189,Suburban Station,0,1072,001005,0,1,CYN1072
CYN,SID185189,CYN1081_20260330_SID185189,Cynwyd,1,1081,005001,0,1,CYN1081
CYN,SID185189,CYN1082_20260330_SID185189,Suburban Station,0,1082,001005,2,1,CYN1082
CYN,SID185189,CYN1083_20260330_SID185189,Cynwyd,1,1083,005001,2,1,CYN1083
CYN,SID185189,CYN1084_20260330_SID185189,Suburban Station,0,1084,001005,2,1,CYN1084
CYN,SID185189,CYN1085_20260330_SID185189,Cynwyd,1,1085,005001,2,1,CYN1085
WIL,SID185189,WIL1226_20260330_SID185189,Suburban Station,0,1226,201007,2,1,WIL1226
WIL,SID185189,WIL1228_20260330_SID185189,Suburban Station,0,1228,201007,0,1,WIL1228
MED,SID185189,MED1380_20260330_SID185189,Suburban Station,0,1380,300007,2,1,MED1380
TRE,SID185189,TRE1705_20260330_SID185189,Trenton,1,1705,007701,2,1,TRE1705
TRE,SID185186,TRE1706_20260329_SID185186,Jefferson Station,0,1706,701007,0,1,TRE1706
TRE,SID185186,TRE1707_20260329_SID185186,Trenton,1,1707,007701,0,1,TRE1707
TRE,SID185186,TRE1708_20260329_SID185186,Jefferson Station,0,1708,701007,0,1,TRE1708
TRE,SID185186,TRE1709_20260329_SID185186,Trenton,1,1709,007701,0,1,TRE1709
TRE,SID185186,TRE1710_20260329_SID185186,Jefferson Station,0,1710,701007,0,1,TRE1710
TRE,SID185186,TRE1711_20260329_SID185186,Trenton,1,1711,007701,0,1,TRE1711
TRE,SID185186,TRE1712_20260329_SID185186,Jefferson Station,0,1712,701007,0,1,TRE1712
TRE,SID185186,TRE1713_20260329_SID185186,Trenton,1,1713,007701,0,1,TRE1713
TRE,SID185186,TRE1714_20260329_SID185186,Jefferson Station,0,1714,701007,0,1,TRE1714
TRE,SID185186,TRE1715_20260329_SID185186,Trenton,1,1715,007701,0,1,TRE1715
TRE,SID185186,TRE1716_20260329_SID185186,Jefferson Station,0,1716,701007,0,1,TRE1716
TRE,SID185186,TRE1717_20260329_SID185186,Trenton,1,1717,007701,0,1,TRE1717
TRE,SID185186,TRE1718_20260329_SID185186,Jefferson Station,0,1718,701007,0,1,TRE1718
TRE,SID185186,TRE1719_20260329_SID185186,Trenton,1,1719,007701,0,1,TRE1719
TRE,SID185186,TRE1720_20260329_SID185186,Jefferson Station,0,1720,701007,0,1,TRE1720
TRE,SID185186,TRE1721_20260329_SID185186,Trenton,1,1721,007701,0,1,TRE1721
TRE,SID185186,TRE1722_20260329_SID185186,Jefferson Station,0,1722,701007,0,1,TRE1722
TRE,SID185186,TRE1723_20260329_SID185186,Trenton,1,1723,007701,0,1,TRE1723
TRE,SID185186,TRE1724_20260329_SID185186,Jefferson Station,0,1724,701007,0,1,TRE1724
TRE,SID185186,TRE1725_20260329_SID185186,Trenton,1,1725,007701,0,1,TRE1725
TRE,SID185186,TRE1726_20260329_SID185186,Jefferson Station,0,1726,701007,0,1,TRE1726
TRE,SID185186,TRE1727_20260329_SID185186,Trenton,1,1727,007701,0,1,TRE1727
TRE,SID185186,TRE1728_20260329_SID185186,Jefferson Station,0,1728,701007,0,1,TRE1728
TRE,SID185186,TRE1729_20260329_SID185186,Trenton,1,1729,007701,0,1,TRE1729
TRE,SID185186,TRE1730_20260329_SID185186,Jefferson Station,0,1730,701007,0,1,TRE1730
TRE,SID185186,TRE1731_20260329_SID185186,Trenton,1,1731,007701,0,1,TRE1731
