route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
CHW,SID185189,CHW858_20260201_SID185189,Center City Philadelphia,0,858,801007
FOX,SID185189,FOX858_20260201_SID185189,Fox Chase,0,858,004815
FOX,SID185189,FOX861_20260201_SID185189,Center City Philadelphia,1,861,815005
CHW,SID185189,CHW861_20260201_SID185189,Chestnut Hill West,1,861,007801
CHW,SID185189,CHW862_20260201_SID185189,Center City Philadelphia,0,862,801007
FOX,SID185189,FOX862_20260201_SID185189,Fox Chase,0,862,004815
FOX,SID185189,FOX865_20260201_SID185189,Center City Philadelphia,1,865,815005
CHW,SID185189,CHW865_20260201_SID185189,Chestnut Hill West,1,865,007801
CHW,SID185189,CHW866_20260201_SID185189,Center City Philadelphia,0,866,801007
FOX,SID185189,FOX866_20260201_SID185189,Fox Chase,0,866,004815
FOX,SID185189,FOX869_20260201_SID185189,Center City Philadelphia,1,869,815005
CHW,SID185189,CHW869_20260201_SID185189,Chestnut Hill West,1,869,007801
WIL,SID185186,WIL9201_20260201_SID185186,Marcus Hook,1,9201,007201
WIL,SID185189,WIL9202_20260201_SID185189,Temple University,0,9202,201007
WIL,SID185189,WIL9204_20260201_SID185189,Temple University,0,9204,201007
WIL,SID185189,WIL9206_20260201_SID185189,Temple University,0,9206,201007
WIL,SID185189,WIL9208_20260201_SID185189,Temple University,0,9208,201007
WIL,SID185189,WIL9210_20260201_SID185189,Temple University,0,9210,201007
WIL,SID185189,WIL9211_20260201_SID185189,Wilmington,1,9211,007201
WIL,SID185189,WIL9212_20260201_SID185189,Temple University,0,9212,201007
WIL,SID185189,WIL9213_20260201_SID185189,Newark DE,1,9213,007201
WIL,SID185189,WIL9214_20260201_SID185189,Temple University,0,9214,201007
WIL,SID185189,WIL9216_20260201_SID185189,Temple University,0,9216,201007
WIL,SID185189,WIL9219_20260201_SID185189,Marcus Hook,1,9219,007201
WIL,SID185189,WIL9221_20260201_SID185189,Newark DE,1,9221,007201
WIL,SID185189,WIL9225_20260201_SID185189,Marcus Hook,1,9225,007201
WIL,SID185189,WIL9229_20260201_SID185189,Marcus Hook,1,9229,007201
WIL,SID185189,WIL9230_20260201_SID185189,Temple University,0,9230,201007
WIL,SID185189,WIL9232_20260201_SID185189,Temple University,0,9232,201007
WIL,SID185189,WIL9233_20260201_SID185189,Marcus Hook,1,9233,007201
WIL,SID185189,WIL9241_20260201_SID185189,Newark DE,1,9241,007201
WIL,SID185189,WIL9250_20260201_SID185189,Temple University,0,9250,201007
MED,SID185189,MED9316_20260201_SID185189,Temple University,0,9316,300007
MED,SID185189,MED9317_20260201_SID185189,Wawa,1,9317,007300
MED,SID185189,MED9345_20260201_SID185189,Wawa,1,9345,007300
MED,SID185189,MED9349_20260201_SID185189,Wawa,1,9349,007300
MED,SID185189,MED9351_20260201_SID185189,Media,1,9351,007300
MED,SID185189,MED9368_20260201_SID185189,Temple University,0,9368,300007
AIR,SID185189,AIR9411_20260201_SID185189,Airport Terminal E & F,1,9411,007401
AIR,SID185189,AIR9415_20260201_SID185189,Airport Terminal E & F,1,9415,007401
AIR,SID185189,AIR9476_20260201_SID185189,Temple University,0,9476,401007
PAO,SID185189,PAO9501_20260201_SID185189,Thorndale,1,9501,007501
PAO,SID185189,PAO9506_20260201_SID185189,Temple University,0,9506,501007
PAO,SID185189,PAO9509_20260201_SID185189,Thorndale,1,9509,007501
PAO,SID185189,PAO9510_20260201_SID185189,Temple University,0,9510,501007
PAO,SID185186,PAO9511_20260201_SID185186,Malvern,1,9511,007501
PAO,SID185189,PAO9513_20260201_SID185189,Malvern,1,9513,007501
PAO,SID185189,PAO9517_20260201_SID185189,Thorndale,1,9517,007501
PAO,SID185187,PAO9518_20260110_SID185187,Temple University,0,9518,501007
PAO,SID185185,PAO9518_20260201_SID185185,Temple University,0,9518,501007
PAO,SID185186,PAO9519_20260201_SID185186,Malvern,1,9519,007501
PAO,SID185189,PAO9521_20260201_SID185189,Malvern,1,9521,007501
PAO,SID185189,PAO9525_20260201_SID185189,Thorndale,1,9525,007501
PAO,SID185187,PAO9526_20260110_SID185187,Temple University,0,9526,501007
PAO,SID185185,PAO9526_20260201_SID185185,Temple University,0,9526,501007
PAO,SID185189,PAO9527_20260202_SID185189,Malvern,1,9527,007501
PAO,SID185186,PAO9527_20260201_SID185186,Malvern,1,9527,007501
PAO,SID185189,PAO9529_20260201_SID185189,Malvern,1,9529,007501
PAO,SID185189,PAO9533_20260201_SID185189,Paoli,1,9533,007501
PAO,SID185187,PAO9534_20260207_SID185187,Temple University,0,9534,501007
PAO,SID185185,PAO9534_20260201_SID185185,Temple University,0,9534,501007
PAO,SID185189,PAO9534_20260202_SID185189,Temple University,0,9534,501007
PAO,SID185186,PAO9535_20260201_SID185186,Malvern,1,9535,007501
PAO,SID185189,PAO9537_20260201_SID185189,Wayne,1,9537,007501
PAO,SID185189,PAO9540_20260201_SID185189,Temple University,0,9540,501007
PAO,SID185187,PAO9542_20260110_SID185187,Temple University,0,9542,501007
PAO,SID185185,PAO9542_20260201_SID185185,Temple University,0,9542,501007
PAO,SID185186,PAO9543_20260201_SID185186,Malvern,1,9543,007501
PAO,SID185189,PAO9544_20260201_SID185189,Temple University,0,9544,501007
PAO,SID185189,PAO9546_20260201_SID185189,Temple University,0,9546,501007
PAO,SID185189,PAO9547_20260201_SID185189,Malvern,1,9547,007501
PAO,SID185187,PAO9550_20260110_SID185187,Temple University,0,9550,501007
PAO,SID185185,PAO9550_20260201_SID185185,Temple University,0,9550,501007
PAO,SID185189,PAO9551_20260202_SID185189,Malvern,1,9551,007501
PAO,SID185186,PAO9551_20260201_SID185186,Malvern,1,9551,007501
PAO,SID185189,PAO9552_20260201_SID185189,Temple University,0,9552,501007
PAO,SID185189,PAO9556_20260201_SID185189,Temple University,0,9556,501007
PAO,SID185187,PAO9558_20260110_SID185187,Temple University,0,9558,501007
PAO,SID185185,PAO9558_20260201_SID185185,Temple University,0,9558,501007
PAO,SID185186,PAO9559_20260201_SID185186,Malvern,1,9559,007501
PAO,SID185189,PAO9560_20260201_SID185189,Temple University,0,9560,501007
PAO,SID185189,PAO9562_20260201_SID185189,Temple University,0,9562,501007
PAO,SID185189,PAO9564_20260201_SID185189,Temple University,0,9564,501007
PAO,SID185187,PAO9566_20260207_SID185187,Temple University,0,9566,501007
PAO,SID185189,PAO9566_20260202_SID185189,Temple University,0,9566,501007
PAO,SID185185,PAO9566_20260201_SID185185,Temple University,0,9566,501007
PAO,SID185186,PAO9567_20260201_SID185186,Malvern,1,9567,007501
PAO,SID185187,PAO9574_20260110_SID185187,Temple University,0,9574,501007
PAO,SID185185,PAO9574_20260201_SID185185,Temple University,0,9574,501007
PAO,SID185186,PAO9575_20260201_SID185186,Malvern,1,9575,007501
PAO,SID185187,PAO9582_20260110_SID185187,Temple University,0,9582,501007
PAO,SID185185,PAO9582_20260201_SID185185,Temple University,0,9582,501007
PAO,SID185189,PAO9590_20260201_SID185189,Temple University,0,9590,501007
PAO,SID185189,PAO9591_20260201_SID185189,Thorndale,1,9591,007501
PAO,SID185189,PAO9592_20260201_SID185189,Temple University,0,9592,501007
PAO,SID185189,PAO9595_20260201_SID185189,Thorndale,1,9595,007501
TRE,SID185189,TRE9701_20260201_SID185189,Trenton,1,9701,007701
TRE,SID185189,TRE9703_20260201_SID185189,Trenton,1,9703,007701
TRE,SID185189,TRE9707_20260201_SID185189,Trenton,1,9707,007701
TRE,SID185189,TRE9708_20260201_SID185189,Temple University,0,9708,701007
TRE,SID185189,TRE9709_20260201_SID185189,Trenton,1,9709,007701
TRE,SID185189,TRE9710_20260201_SID185189,Temple University,0,9710,701007
TRE,SID185189,TRE9712_20260201_SID185189,Temple University,0,9712,701007
TRE,SID185189,TRE9714_20260201_SID185189,Temple University,0,9714,701007
TRE,SID185189,TRE9716_20260201_SID185189,Temple University,0,9716,701007
TRE,SID185189,TRE9719_20260201_SID185189,Trenton,1,9719,007701
TRE,SID185189,TRE9720_20260201_SID185189,Temple University,0,9720,701007
TRE,SID185189,TRE9723_20260201_SID185189,Trenton,1,9723,007701
TRE,SID185189,TRE9724_20260201_SID185189,Temple University,0,9724,701007
TRE,SID185189,TRE9727_20260201_SID185189,Trenton,1,9727,007701
TRE,SID185189,TRE9728_20260201_SID185189,Temple University,0,9728,701007
TRE,SID185189,TRE9731_20260201_SID185189,Trenton,1,9731,007701
TRE,SID185189,TRE9732_20260201_SID185189,Temple University,0,9732,701007
TRE,SID185189,TRE9735_20260201_SID185189,Trenton,1,9735,007701
TRE,SID185189,TRE9736_20260201_SID185189,Temple University,0,9736,701007
TRE,SID185189,TRE9739_20260201_SID185189,Trenton,1,9739,007701
TRE,SID185189,TRE9740_20260201_SID185189,Temple University,0,9740,701007
TRE,SID185189,TRE9743_20260201_SID185189,Trenton,1,9743,007701
TRE,SID185189,TRE9744_20260201_SID185189,Temple University,0,9744,701007
TRE,SID185189,TRE9746_20260201_SID185189,Temple University,0,9746,701007
TRE,SID185189,TRE9747_20260201_SID185189,Trenton,1,9747,007701
TRE,SID185189,TRE9748_20260201_SID185189,Temple University,0,9748,701007
TRE,SID185189,TRE9749_20260201_SID185189,Trenton,1,9749,007701
TRE,SID185189,TRE9750_20260201_SID185189,Temple University,0,9750,701007
TRE,SID185189,TRE9751_20260201_SID185189,Trenton,1,9751,007701
TRE,SID185189,TRE9753_20260201_SID185189,Trenton,1,9753,007701
TRE,SID185189,TRE9754_20260201_SID185189,Temple University,0,9754,701007
TRE,SID185189,TRE9756_20260201_SID185189,Temple University,0,9756,701007
TRE,SID185189,TRE9757_20260201_SID185189,Trenton,1,9757,007701
TRE,SID185189,TRE9758_20260201_SID185189,Temple University,0,9758,701007
TRE,SID185189,TRE9759_20260201_SID185189,Trenton,1,9759,007701
TRE,SID185189,TRE9762_20260201_SID185189,Temple University,0,9762,701007
TRE,SID185189,TRE9763_20260201_SID185189,Trenton,1,9763,007701
TRE,SID185189,TRE9766_20260201_SID185189,Temple University,0,9766,701007
TRE,SID185189,TRE9767_20260201_SID185189,Trenton,1,9767,007701
TRE,SID185189,TRE9771_20260201_SID185189,Trenton,1,9771,007701
TRE,SID185189,TRE9775_20260201_SID185189,Trenton,1,9775,007701
TRE,SID185189,TRE9776_20260201_SID185189,Temple University,0,9776,701007
TRE,SID185189,TRE9779_20260201_SID185189,Trenton,1,9779,007701
TRE,SID185186,TRE9781_20260201_SID185186,Trenton,1,9781,007701
TRE,SID185186,TRE9782_20260201_SID185186,Temple University,0,9782,701007
TRE,SID185186,TRE9783_20260201_SID185186,Trenton,1,9783,007701
TRE,SID185186,TRE9785_20260201_SID185186,Trenton,1,9785,007701
TRE,SID185186,TRE9790_20260201_SID185186,Temple University,0,9790,701007
TRE,SID185186,TRE9792_20260201_SID185186,Temple University,0,9792,701007
