"stop_id","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","wheelchair_boarding"
"90506","Paoli","","40.042760","-75.483760","4S","","1"
"90530","Pennbrook","","40.230280","-75.281670","4N","","1"
"90319","Philmont","","40.121940","-75.043610","3N","","1"
"90527","Penllyn","","40.170000","-75.244160","3N","","2"
"90308","Primos","","39.921670","-75.298330","2S","","1"
"90211","Prospect Park - Moore","","39.888330","-75.308890","2S","","2"
"90809","Queen Lane","","40.023330","-75.178050","1S","","1"
"90513","Radnor","","40.044720","-75.358890","3S","","1"
"90210","Ridley Park","","39.880550","-75.322220","3S","","2"
"90515","Rosemont","","40.027780","-75.326670","3S","","2"
"90413","Roslyn","","40.120830","-75.134160","3N","","1"
"90316","Rydal","","40.107500","-75.110560","3N","","2"
"90814","Ryers","","40.064170","-75.086390","2N","","1"
"90307","Secane","","39.915830","-75.309720","2S","","1"
"90716","Sedgwick","","40.062780","-75.185280","2N","","2"
"90215","Sharon Hill","","39.904450","-75.270840","2S","","2"
"90321","Somerton","","40.130550","-75.011950","3N","","1"
"90224","Spring Mill","","40.074170","-75.286110","3N","","1"
"90005","Suburban Station","","39.953890","-75.167780","CC","","1"
"90512","St. Davids","","40.043890","-75.372500","3S","","2"
"90510","Strafford","","40.049450","-75.403050","3S","","1"
"90803","St. Martins","","40.065830","-75.204440","2S","","2"
"90715","Stenton","","40.060550","-75.178610","2N","","2"
"90305","Swarthmore","","39.902220","-75.350830","3S","","1"
"90709","Tacony","","40.023330","-75.038890","2S","","2"
"90501","Thorndale","","39.992780","-75.763610","4S","","1"
"90707","Torresdale","","40.054440","-74.984440","3S","","2"
"90701","Trenton","","40.218510","-74.753930","NJ","","1"
"90322","Trevose","","40.140280","-74.982500","3N","","1"
"90007","Temple University","","39.981390","-75.149440","CC","","1"
"90807","Tulpehocken","","40.035280","-75.186940","1S","","2"
"90406","Penn Medicine Station","","39.948060","-75.190280","CC","","1"
"90806","Upsal","","40.042500","-75.190000","2S","","2"
"90514","Villanova","","40.038330","-75.341670","3S","","2"
"90714","Washington Lane","","40.050830","-75.171390","2N","","2"
"90304","Wallingford","","39.903610","-75.371940","3S","","2"
"90300","Wawa","","39.900680","-75.458560","3S","","1"
"90511","Wayne","","40.045830","-75.386670","3S","","1"
"90325","Woodbourne","","40.192500","-74.889170","4N","","2"
"90203","Wilmington","","39.737260","-75.551090","4S","","1"
"90503","Whitford","","40.014720","-75.638050","4S","","2"
"90712","Wister","","40.036110","-75.161110","1N","","2"
"90009","Wayne Junction","","40.022220","-75.160000","1N","","1"
"90415","Willow Grove","","40.143890","-75.114170","3N","","2"
"90417","Warminster","","40.195280","-75.089160","3N","","1"
"90220","Wissahickon","","40.016670","-75.210280","1N","","2"
"90327","West Trenton","","40.257780","-74.815280","NJ","","2"
"90718","Wyndmoor","","40.073330","-75.196660","2N","","2"
"90003","Wynnefield Avenue","","39.990000","-75.225560","1S","","1"
"90519","Wynnewood","","40.002780","-75.272500","2S","","2"
"90326","Yardley","","40.235280","-74.830560","4N","","1"
