trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
CYN1052_20250902,06:00:00,06:00:00,90001,1,Center City Philadelphia,,,,1
CYN1052_20250902,06:02:00,06:02:00,90002,2,Center City Philadelphia,,,,1
CYN1052_20250902,06:05:00,06:05:00,90003,3,Center City Philadelphia,,,,1
CYN1052_20250902,06:17:00,06:17:00,90004,4,Suburban Station,,,,1
CYN1052_20250902,06:22:00,06:22:00,90005,5,Suburban Station,,,,1
CYN1055_20250902,06:46:00,06:46:00,90005,1,Center City Philadelphia,,,,1
CYN1055_20250902,06:51:00,06:51:00,90004,2,Cynwyd,,,,1
CYN1055_20250902,07:02:00,07:02:00,90003,3,Cynwyd,,,,1
CYN1055_20250902,07:05:00,07:05:00,90002,4,Cynwyd,,,,1
CYN1055_20250902,07:08:00,07:08:00,90001,5,Cynwyd,,,,1
CYN1056_20250902,07:28:00,07:28:00,90001,1,Center City Philadelphia,,,,1
CYN1056_20250902,07:30:00,07:30:00,90002,2,Center City Philadelphia,,,,1
CYN1056_20250902,07:33:00,07:33:00,90003,3,Center City Philadelphia,,,,1
CYN1056_20250902,07:45:00,07:45:00,90004,4,Suburban Station,,,,1
CYN1056_20250902,07:50:00,07:50:00,90005,5,Suburban Station,,,,1
CYN1059_20250902,08:10:00,08:10:00,90005,1,Center City Philadelphia,,,,1
CYN1059_20250902,08:15:00,08:15:00,90004,2,Cynwyd,,,,1
CYN1059_20250902,08:26:00,08:26:00,90003,3,Cynwyd,,,,1
CYN1059_20250902,08:29:00,08:29:00,90002,4,Cynwyd,,,,1
CYN1059_20250902,08:31:00,08:31:00,90001,5,Cynwyd,,,,1
CYN1060_20250902,08:46:00,08:46:00,90001,1,Center City Philadelphia,,,,1
CYN1060_20250902,08:48:00,08:48:00,90002,2,Center City Philadelphia,,,,1
CYN1060_20250902,08:51:00,08:51:00,90003,3,Center City Philadelphia,,,,1
CYN1060_20250902,09:03:00,09:03:00,90004,4,Suburban Station,,,,1
CYN1060_20250902,09:08:00,09:08:00,90005,5,Suburban Station,,,,1
CYN1071_20250902,12:00:00,12:00:00,90005,1,Center City Philadelphia,,,,1
CYN1071_20250902,12:05:00,12:05:00,90004,2,Cynwyd,,,,1
CYN1071_20250902,12:16:00,12:16:00,90003,3,Cynwyd,,,,1
CYN1071_20250902,12:19:00,12:19:00,90002,4,Cynwyd,,,,1
CYN1071_20250902,12:21:00,12:21:00,90001,5,Cynwyd,,,,1
CYN1072_20250902,12:36:00,12:36:00,90001,1,Center City Philadelphia,,,,1
CYN1072_20250902,12:38:00,12:38:00,90002,2,Center City Philadelphia,,,,1
CYN1072_20250902,12:41:00,12:41:00,90003,3,Center City Philadelphia,,,,1
CYN1072_20250902,12:53:00,12:53:00,90004,4,Suburban Station,,,,1
CYN1072_20250902,12:58:00,12:58:00,90005,5,Suburban Station,,,,1
CYN1081_20250902,15:16:00,15:16:00,90005,1,Center City Philadelphia,,,,1
CYN1081_20250902,15:21:00,15:21:00,90004,2,Cynwyd,,,,1
CYN1081_20250902,15:32:00,15:32:00,90003,3,Cynwyd,,,,1
CYN1081_20250902,15:35:00,15:35:00,90002,4,Cynwyd,,,,1
CYN1081_20250902,15:37:00,15:37:00,90001,5,Cynwyd,,,,1
CYN1082_20250902,15:52:00,15:52:00,90001,1,Center City Philadelphia,,,,1
CYN1082_20250902,15:54:00,15:54:00,90002,2,Center City Philadelphia,,,,1
CYN1082_20250902,15:57:00,15:57:00,90003,3,Center City Philadelphia,,,,1
CYN1082_20250902,16:09:00,16:09:00,90004,4,Suburban Station,,,,1
CYN1082_20250902,16:14:00,16:14:00,90005,5,Suburban Station,,,,1
CYN1083_20250902,16:37:00,16:37:00,90005,1,Center City Philadelphia,,,,1
CYN1083_20250902,16:42:00,16:42:00,90004,2,Cynwyd,,,,1
CYN1083_20250902,16:53:00,16:53:00,90003,3,Cynwyd,,,,1
CYN1083_20250902,16:56:00,16:56:00,90002,4,Cynwyd,,,,1
CYN1083_20250902,16:58:00,16:58:00,90001,5,Cynwyd,,,,1
CYN1084_20250902,17:15:00,17:15:00,90001,1,Center City Philadelphia,,,,1
CYN1084_20250902,17:17:00,17:17:00,90002,2,Center City Philadelphia,,,,1
CYN1084_20250902,17:20:00,17:20:00,90003,3,Center City Philadelphia,,,,1
CYN1084_20250902,17:32:00,17:32:00,90004,4,Suburban Station,,,,1
CYN1084_20250902,17:37:00,17:37:00,90005,5,Suburban Station,,,,1
CYN1085_20250902,17:57:00,17:57:00,90005,1,Center City Philadelphia,,,,1
CYN1085_20250902,18:02:00,18:02:00,90004,2,Cynwyd,,,,1
CYN1085_20250902,18:13:00,18:13:00,90003,3,Cynwyd,,,,1
CYN1085_20250902,18:16:00,18:16:00,90002,4,Cynwyd,,,,1
