"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"FOX","M1","FOX_4862_V55_M","Fox Chase","4862","4862","005815","0","1"
"TRE","M1","TRE_7402_V55_M","Temple University","7402","7402","701007","0","1"
"MED","M1","MED_3482_V55_M","Center City Philadelphia","3482","3482","301005","0","1"
"WIL","M1","WIL_3223_V55_M","Newark","3223","3223","005201","1","1"
"AIR","M4","AIR_426_V25_M","Center City Philadelphia","426","426","401005","0","1"
"AIR","M4","AIR_1409_V25_M","Airport Terminal E F","1409","1409","006401","1","1"
"AIR","M2","AIR_4304_V37_M","Center City Philadelphia","4304","4304","401005","0","1"
"CHW","M2","CHW_1817_V37_M","Chestnut Hill West","1817","1817","006801","1","1"
"PAO","M1","PAO_4571_V55_M","Thorndale","4571","4571","005501","1","1"
"TRE","M2","TRE_711_V37_M","Trenton","711","711","005701","1","1"
"AIR","M2","AIR_4370_V37_M","Center City Philadelphia","4370","4370","401005","0","1"
"WIL","M1","WIL_9204_V55_M","Temple University","9204","9204","201007","0","1"
"CHW","M3","CHW_1828_V66_M","Jefferson Station","1828","1828","801006","0","1"
"WAR","M1","WAR_408_V50_M","Warminster","408","408","005417","0","1"
"WIL","M1","WIL_5205_V51_M","Newark","5205","5205","005201","1","1"
"LAN","M2","LAN_539_V37_M","Center City Philadelphia","539","539","538005","1","1"
"MED","M1","MED_9313_V52_M","Elwyn","9313","9313","007301","1","1"
"LAN","M1","LAN_4574_V55_M","Doylestown","4574","4574","005538","0","1"
"WAR","M4","WAR_415_V25_M","Center City Philadelphia","415","415","411005","1","1"
"CHE","M1","CHE_708_V51_M","Chestnut Hill East","708","708","005720","0","1"
"WAR","M4","WAR_421_V25_M","Center City Philadelphia","421","421","417005","1","1"
"WAR","M1","WAR_445_V50_M","Center City Philadelphia","445","445","417005","1","1"
"FOX","M4","FOX_3860_V25_M","Fox Chase","3860","3860","005815","0","1"
"WTR","M2","WTR_4360_V37_M","West Trenton","4360","4360","005327","0","1"
"NOR","M1","NOR_3204_V50_M","Norristown - Elm Street","3204","3204","005228","0","1"
"MED","M1","MED_9315_V52_M","Elwyn","9315","9315","007301","1","1"
"NOR","M2","NOR_6270_V37_M","Norristown - Elm Street","6270","6270","004228","0","1"
"AIR","M3","AIR_4344_V66_M","Center City Philadelphia","4344","4344","401005","0","1"
"FOX","M1","FOX_8411_V55_M","Center City Philadelphia","8411","8411","815005","1","1"
"CHE","M1","CHE_719_V51_M","Center City Philadelphia","719","719","720005","1","1"
"AIR","M2","AIR_461_V37_M","Airport Terminal E F","461","461","005401","1","1"
"WTR","M2","WTR_3465_V37_M","Center City Philadelphia","3465","3465","327005","1","1"
"LAN","M1","LAN_5219_V51_M","Center City Philadelphia","5219","5219","538005","1","1"
"WAR","M1","WAR_403_V50_M","Center City Philadelphia","403","403","411005","1","1"
"LAN","M2","LAN_570_V37_M","Doylestown","570","570","005538","0","1"
"MED","M1","MED_2331_V50_M","Elwyn","2331","2331","005301","1","1"
"CHW","M1","CHW_9851_V55_M","Chestnut Hill West","9851","9851","007801","1","1"
"CHE","M1","CHE_703_V51_M","Center City Philadelphia","703","703","720005","1","1"
"FOX","M3","FOX_8391_V66_M","Center City Philadelphia","8391","8391","815005","1","1"
"CHW","M2","CHW_9868_V37_M","Temple University","9868","9868","801007","0","1"
"WIL","M3","WIL_207_V66_M","Wilmington","207","207","005203","1","1"
"LAN","M3","LAN_538_V66_M","Doylestown","538","538","005538","0","1"
"NOR","M4","NOR_220_V25_M","Norristown - Elm Street","220","220","005228","0","1"
"AIR","M3","AIR_437_V66_M","Airport Terminal E F","437","437","005401","1","1"
"CHW","M1","CHW_9835_V55_M","Chestnut Hill West","9835","9835","007801","1","1"
"LAN","M1","LAN_6591_V55_M","30th Street Station","6591","6591","538004","1","1"
"AIR","M1","AIR_8427_V55_M","Airport Terminal E F","8427","8427","005401","1","1"
"AIR","M2","AIR_3473_V37_M","Airport Terminal E F","3473","3473","005401","1","1"
"MED","M4","MED_8387_V25_M","Elwyn","8387","8387","005301","1","1"
"AIR","M1","AIR_407_V50_M","Airport Terminal E F","407","407","005401","1","1"
"CHE","M4","CHE_707_V25_M","Center City Philadelphia","707","707","720005","1","1"
"WAR","M1","WAR_432_V50_M","Warminster","432","432","005417","0","1"
"TRE","M4","TRE_722_V25_M","Center City Philadelphia","722","722","701005","0","1"
"CHE","M1","CHE_732_V51_M","Chestnut Hill East","732","732","005720","0","1"
"LAN","M4","LAN_515_V25_M","Center City Philadelphia","515","515","538005","1","1"
"TRE","M1","TRE_9744_V55_M","Temple University","9744","9744","701007","0","1"
"MED","M1","MED_9345_V51_M","Elwyn","9345","9345","007301","1","1"
"CHE","M2","CHE_738_V37_M","Chestnut Hill East","738","738","005720","0","1"
"FOX","M1","FOX_8447_V55_M","Center City Philadelphia","8447","8447","815005","1","1"
"AIR","M1","AIR_8459_V55_M","Airport Terminal E F","8459","8459","005401","1","1"
"WIL","M2","WIL_215_V37_M","Wilmington","215","215","005203","1","1"
"TRE","M2","TRE_9768_V37_M","Temple University","9768","9768","701007","0","1"
"NOR","M1","NOR_3222_V50_M","Norristown - Elm Street","3222","3222","005228","0","1"
"LAN","M3","LAN_6566_V66_M","Lansdale","6566","6566","004531","0","1"
"WTR","M3","WTR_4328_V66_M","West Trenton","4328","4328","005327","0","1"
"PAO","M3","PAO_539_V66_M","Malvern","539","539","005505","1","1"
"AIR","M3","AIR_3457_V66_M","Airport Terminal E F","3457","3457","005401","1","1"
"AIR","M1","AIR_405_V50_M","Airport Terminal E F","405","405","005401","1","1"
"WIL","M1","WIL_5211_V51_M","Wilmington","5211","5211","005203","1","1"
"NOR","M1","NOR_6248_V55_M","Norristown - Elm Street","6248","6248","004228","0","1"
"AIR","M4","AIR_418_V25_M","Center City Philadelphia","418","418","401005","0","1"
"TRE","M1","TRE_1701_V5_M","Trenton","1701","1701","005701","1","1"
"PAO","M1","PAO_3501_V53_M","Malvern","3501","3501","005505","1","1"
"CHW","M2","CHW_1860_V37_M","Jefferson Station","1860","1860","801006","0","1"
"AIR","M1","AIR_448_V50_M","Center City Philadelphia","448","448","401005","0","1"
"NOR","M3","NOR_235_V66_M","Center City Philadelphia","235","235","228005","1","1"
"FOX","M1","FOX_8463_V55_M","Center City Philadelphia","8463","8463","815005","1","1"
"FOX","M1","FOX_6871_V53_M","30th Street Station","6871","6871","815004","1","1"
"CHW","M2","CHW_1841_V37_M","Chestnut Hill West","1841","1841","006801","1","1"
"NOR","M1","NOR_2321_V50_M","Center City Philadelphia","2321","2321","228005","1","1"
"TRE","M2","TRE_727_V37_M","Trenton","727","727","005701","1","1"
"PAO","M3","PAO_570_V66_M","Center City Philadelphia","570","570","501005","0","1"
"WTR","M1","WTR_5356_V51_M","West Trenton","5356","5356","005327","0","1"
"WIL","M1","WIL_2518_V53_M","Center City Philadelphia","2518","2518","203005","0","1"
"FOX","M2","FOX_3866_V37_M","Fox Chase","3866","3866","005815","0","1"
"LAN","M1","LAN_2522_V53_M","Doylestown","2522","2522","005538","0","1"
"AIR","M4","AIR_413_V25_M","Airport Terminal E F","413","413","005401","1","1"
"AIR","M2","AIR_434_V37_M","Center City Philadelphia","434","434","401005","0","1"
"WIL","M1","WIL_2528_V50_M","Center City Philadelphia","2528","2528","203005","0","1"
"PAO","M2","PAO_538_V37_M","Center City Philadelphia","538","538","505005","0","1"
"WIL","M1","WIL_9250_V55_M","Temple University","9250","9250","201007","0","1"
"CHE","M4","CHE_714_V25_M","Chestnut Hill East","714","714","005720","0","1"
"WAR","M3","WAR_450_V66_M","Warminster","450","450","005417","0","1"
"AIR","M3","AIR_442_V66_M","Center City Philadelphia","442","442","401005","0","1"
"MED","M4","MED_1390_V25_M","Jefferson Station","1390","1390","301006","0","1"
"WIL","M4","WIL_212_V25_M","Center City Philadelphia","212","212","203005","0","1"
"CHW","M4","CHW_1849_V25_M","Chestnut Hill West","1849","1849","006801","1","1"
"TRE","M1","TRE_727_V51_M","Trenton","727","727","005701","1","1"
"AIR","M4","AIR_3457_V25_M","Airport Terminal E F","3457","3457","005401","1","1"
"MED","M1","MED_2321_V50_M","Elwyn","2321","2321","005301","1","1"
"WTR","M4","WTR_4328_V25_M","West Trenton","4328","4328","005327","0","1"
"AIR","M1","AIR_437_V50_M","Airport Terminal E F","437","437","005401","1","1"
"CHW","M1","CHW_8756_V55_M","Center City Philadelphia","8756","8756","801005","0","1"
"PAO","M1","PAO_5442_V55_M","Center City Philadelphia","5442","5442","505005","0","1"
"WTR","M1","WTR_5344_V51_M","West Trenton","5344","5344","005327","0","1"
"AIR","M3","AIR_407_V66_M","Airport Terminal E F","407","407","005401","1","1"
"WIL","M1","WIL_9213_V51_M","Newark","9213","9213","007201","1","1"
"CHW","M2","CHW_1809_V37_M","Chestnut Hill West","1809","1809","006801","1","1"
