"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"MED","M6","MED_381_A55_M","Media","381","381","005302","1","1"
"NOR","M1","NOR_6270_V26_M","Norristown - Elm Street","6270","6270","004228","0","1"
"CHW","M6","CHW_9851_A55_M","Chestnut Hill West","9851","9851","007801","1","1"
"WTR","M2","WTR_4370_V37_M","West Trenton","4370","4370","005327","0","1"
"WTR","M2","WTR_3847_V58_M","Center City Philadelphia","3847","3847","327005","1","1"
"WAR","M6","WAR_432_A50_M","Warminster","432","432","005417","0","1"
"WTR","M6","WTR_6317_A23_M","Gray 30th Street","6317","6317","327004","1","1"
"WIL","M6","WIL_9213_A51_M","Newark","9213","9213","007201","1","1"
"TRE","P3","TRE_5765_V22_M","Trenton","5765","5765","004701","1","1"
"LAN","M4","LAN_6588_V13_M","Lansdale","6588","6588","004531","0","1"
"WAR","M4","WAR_444_V50_M","Warminster","444","444","005417","0","1"
"TRE","M4","TRE_710_V51_M","Center City Philadelphia","710","710","701005","0","1"
"WAR","M6","WAR_465_A50_M","Center City Philadelphia","465","465","417005","1","1"
"LAN","M1","LAN_571_V25_M","Center City Philadelphia","571","571","538005","1","1"
"WAR","M2","WAR_445_V37_M","Center City Philadelphia","445","445","417005","1","1"
"WAR","M6","WAR_6480_A55_M","Warminster","6480","6480","004417","0","1"
"AIR","M6","AIR_8423_A55_M","Airport Terminal E F","8423","8423","005401","1","1"
"CHE","M6","CHE_707_A51_M","Center City Philadelphia","707","707","720005","1","1"
"PAO","M4","PAO_9512_V85_M","Temple University","9512","9512","505007","0","1"
"MED","M2","MED_9309_V87_M","Wawa","9309","9309","007300","1","1"
"NOR","M4","NOR_2327_V50_M","Center City Philadelphia","2327","2327","228005","1","1"
"WTR","M4","WTR_5330_V13_M","West Trenton","5330","5330","005327","0","1"
"CHW","M4","CHW_7821_V85_M","Chestnut Hill West","7821","7821","005801","1","1"
"PAO","P3","PAO_9526_V99_M","Gray 30th Street","9526","9526","516004","0","1"
"CHE","M4","CHE_714_V51_M","Chestnut Hill East","714","714","005720","0","1"
"AIR","M6","AIR_4862_A55_M","Center City Philadelphia","4862","4862","401005","0","1"
"CHE","M6","CHE_8716_A85_M","Chestnut Hill East","8716","8716","005720","0","1"
"PAO","M6","PAO_9560_A50_M","Temple University","9560","9560","501007","0","1"
"WAR","M6","WAR_460_A50_M","Warminster","460","460","005417","0","1"
"LAN","M6","LAN_2518_A53_M","Doylestown","2518","2518","005538","0","1"
"NOR","M4","NOR_2335_V50_M","Center City Philadelphia","2335","2335","228005","1","1"
"NOR","P3","NOR_6209_V22_M","Jefferson Station","6209","6209","226006","1","1"
"WTR","M6","WTR_3845_A55_M","Center City Philadelphia","3845","3845","327005","1","1"
"PAO","M2","PAO_538_V37_M","Center City Philadelphia","538","538","505005","0","1"
"MED","M6","MED_3212_A50_M","Center City Philadelphia","3212","3212","300005","0","1"
"CHE","M6","CHE_727_A51_M","Center City Philadelphia","727","727","720005","1","1"
"AIR","M6","AIR_453_A50_M","Airport Terminal E F","453","453","005401","1","1"
"LAN","M1","LAN_531_V26_M","Center City Philadelphia","531","531","538005","1","1"
"AIR","M6","AIR_413_A50_M","Airport Terminal E F","413","413","005401","1","1"
"NOR","P3","NOR_1213_V22_M","Jefferson Station","1213","1213","226006","1","1"
"TRE","M4","TRE_715_V51_M","Trenton","715","715","005701","1","1"
"AIR","P3","AIR_9467_V22_M","Airport Terminal E F","9467","9467","004401","1","1"
"WTR","M1","WTR_8312_V63_M","West Trenton","8312","8312","005327","0","1"
"FOX","M4","FOX_4850_V55_M","Fox Chase","4850","4850","005815","0","1"
"WAR","M4","WAR_421_V50_M","Center City Philadelphia","421","421","417005","1","1"
"WIL","M4","WIL_3219_V21_M","Newark","3219","3219","005201","1","1"
"TRE","M4","TRE_700_V5_M","Center City Philadelphia","700","700","701005","0","1"
"LAN","P3","LAN_6517_V22_M","Jefferson Station","6517","6517","538006","1","1"
"CHW","M4","CHW_9862_V55_M","Temple University","9862","9862","801007","0","1"
"WIL","M2","WIL_219_V37_M","Wilmington","219","219","005203","1","1"
"NOR","M6","NOR_3226_A53_M","Norristown - Elm Street","3226","3226","005228","0","1"
"PAO","M6","PAO_9527_A55_M","Malvern","9527","9527","007505","1","1"
"NOR","M2","NOR_223_V37_M","Center City Philadelphia","223","223","228005","1","1"
"TRE","M6","TRE_9752_A15_M","Temple University","9752","9752","701007","0","1"
"WIL","M4","WIL_5203_V21_M","Marcus Hook","5203","5203","005205","1","1"
"LAN","M4","LAN_6511_V9_M","Gray 30th Street","6511","6511","538004","1","1"
"WAR","M4","WAR_401_V50_M","Center City Philadelphia","401","401","407005","1","1"
"WAR","M4","WAR_403_V50_M","Center City Philadelphia","403","403","411005","1","1"
"AIR","P3","AIR_9434_V22_M","Gray 30th Street","9434","9434","401004","0","1"
"AIR","P3","AIR_9414_V22_M","Gray 30th Street","9414","9414","401004","0","1"
"PAO","M4","PAO_542_V13_M","Center City Philadelphia","542","542","505005","0","1"
"LAN","P3","LAN_5311_V22_M","Jefferson Station","5311","5311","526006","1","1"
"CHE","M6","CHE_7503_A15_M","Center City Philadelphia","7503","7503","720005","1","1"
"WAR","P3","WAR_6444_V22_M","Warminster","6444","6444","006417","0","1"
"AIR","M6","AIR_456_A50_M","Center City Philadelphia","456","456","401005","0","1"
"AIR","M6","AIR_416_A50_M","Center City Philadelphia","416","416","401005","0","1"
"NOR","M1","NOR_6255_V26_M","Gray 30th Street","6255","6255","228004","1","1"
"PAO","P3","PAO_8563_V22_M","Thorndale","8563","8563","004501","1","1"
"MED","M4","MED_2323_V50_M","Wawa","2323","2323","005300","1","1"
"CHW","M2","CHW_3855_V58_M","Chestnut Hill West","3855","3855","005801","1","1"
"LAN","P3","LAN_2560_V22_M","Doylestown","2560","2560","006538","0","1"
"CHE","M1","CHE_4702_V86_M","Chestnut Hill East","4702","4702","005720","0","1"
"TRE","M6","TRE_4753_A12_M","Trenton","4753","4753","005701","1","1"
"AIR","M6","AIR_4858_A55_M","Center City Philadelphia","4858","4858","401005","0","1"
"LAN","M2","LAN_574_V37_M","Doylestown","574","574","005538","0","1"
"AIR","M6","AIR_445_A50_M","Airport Terminal E F","445","445","005401","1","1"
"AIR","P3","AIR_474_V22_M","Gray 30th Street","474","474","401004","0","1"
"LAN","P3","LAN_6548_V22_M","Doylestown","6548","6548","006538","0","1"
"PAO","M4","PAO_3561_V52_M","Malvern","3561","3561","005505","1","1"
"AIR","M4","AIR_9476_V52_M","Temple University","9476","9476","401007","0","1"
"MED","M4","MED_3232_V53_M","Center City Philadelphia","3232","3232","300005","0","1"
"CHW","M4","CHW_3845_V55_M","Chestnut Hill West","3845","3845","005801","1","1"
"CHW","M2","CHW_3831_V58_M","Chestnut Hill West","3831","3831","005801","1","1"
"AIR","M4","AIR_464_V50_M","Center City Philadelphia","464","464","401005","0","1"
"TRE","M1","TRE_730_V26_M","Center City Philadelphia","730","730","701005","0","1"
"TRE","M4","TRE_9705_V15_M","Trenton","9705","9705","007701","1","1"
"WIL","M6","WIL_5229_A51_M","Wilmington","5229","5229","005203","1","1"
"CHE","M4","CHE_7821_V85_M","Center City Philadelphia","7821","7821","720005","1","1"
"WIL","M4","WIL_8215_V55_M","Newark","8215","8215","005201","1","1"
