"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"WTR","M2","WTR_4320_V27_M","West Trenton","4320","4320","005327","0","1"
"TRE","M2","TRE_9764_V26_M","Temple University","9764","9764","701007","0","1"
"FOX","M3","FOX_3872_V37_M","Fox Chase","3872","3872","005815","0","1"
"TRE","M3","TRE_7204_V37_M","Temple University","7204","7204","701007","0","1"
"AIR","M2","AIR_4336_V27_M","Center City Philadelphia","4336","4336","401005","0","1"
"WIL","M1","WIL_9218_V53_M","Temple University","9218","9218","201007","0","1"
"AIR","M1","AIR_8455_V55_M","Airport Terminal E F","8455","8455","005401","1","1"
"AIR","M1","AIR_8471_V55_M","Airport Terminal E F","8471","8471","005401","1","1"
"AIR","M1","AIR_441_V50_M","Airport Terminal E F","441","441","005401","1","1"
"WTR","M1","WTR_3549_V52_M","Center City Philadelphia","3549","3549","327005","1","1"
"FOX","M1","FOX_8447_V55_M","Center City Philadelphia","8447","8447","815005","1","1"
"AIR","M1","AIR_4806_V55_M","Center City Philadelphia","4806","4806","401005","0","1"
"LAN","M1","LAN_6513_V53_M","30th Street Station","6513","6513","538004","1","1"
"LAN","M2","LAN_522_V26_M","Doylestown","522","522","005538","0","1"
"MED","M1","MED_2333_V50_M","Elwyn","2333","2333","005301","1","1"
"WIL","M3","WIL_228_V37_M","Center City Philadelphia","228","228","203005","0","1"
"WIL","M1","WIL_5215_V51_M","Wilmington","5215","5215","005203","1","1"
"AIR","M3","AIR_429_V37_M","Airport Terminal E F","429","429","005401","1","1"
"LAN","M1","LAN_6535_V51_M","30th Street Station","6535","6535","538004","1","1"
"PAO","M3","PAO_9541_V37_M","Malvern","9541","9541","007505","1","1"
"AIR","M3","AIR_453_V37_M","Airport Terminal E F","453","453","005401","1","1"
"AIR","M3","AIR_3457_V37_M","Airport Terminal E F","3457","3457","005401","1","1"
"AIR","M3","AIR_464_V37_M","Center City Philadelphia","464","464","401005","0","1"
"WIL","M1","WIL_2528_V50_M","Center City Philadelphia","2528","2528","203005","0","1"
"PAO","M1","PAO_9553_V55_M","Malvern","9553","9553","007505","1","1"
"PAO","M1","PAO_5304_V50_M","Center City Philadelphia","5304","5304","505005","0","1"
"LAN","M3","LAN_522_V37_M","Doylestown","522","522","005538","0","1"
"WIL","M2","WIL_228_V26_M","Center City Philadelphia","228","228","203005","0","1"
"LAN","M1","LAN_6533_V55_M","30th Street Station","6533","6533","538004","1","1"
"WAR","M3","WAR_426_V37_M","Warminster","426","426","005417","0","1"
"WAR","M1","WAR_424_V50_M","Warminster","424","424","005417","0","1"
"LAN","M1","LAN_6543_V51_M","30th Street Station","6543","6543","531004","1","1"
"AIR","M2","AIR_410_V25_M","Center City Philadelphia","410","410","401005","0","1"
"PAO","M1","PAO_9514_V55_M","Temple University","9514","9514","516007","0","1"
"WTR","M1","WTR_5340_V51_M","West Trenton","5340","5340","005327","0","1"
"NOR","M1","NOR_6238_V55_M","Norristown - Elm Street","6238","6238","004228","0","1"
"FOX","M1","FOX_4858_V55_M","Fox Chase","4858","4858","005815","0","1"
"MED","M1","MED_2321_V50_M","Elwyn","2321","2321","005301","1","1"
"WAR","M2","WAR_458_V25_M","Warminster","458","458","005417","0","1"
"CHW","M1","CHW_9843_V55_M","Chestnut Hill West","9843","9843","007801","1","1"
"MED","M2","MED_3872_V25_M","Center City Philadelphia","3872","3872","301005","0","1"
"WAR","M1","WAR_469_V50_M","Center City Philadelphia","469","469","417005","1","1"
"WIL","M3","WIL_235_V37_M","Wilmington","235","235","005203","1","1"
"WIL","M1","WIL_9250_V55_M","Temple University","9250","9250","201007","0","1"
"AIR","M2","AIR_4370_V27_M","Center City Philadelphia","4370","4370","401005","0","1"
"PAO","M2","PAO_570_V26_M","Center City Philadelphia","570","570","501005","0","1"
"AIR","M1","AIR_8439_V55_M","Airport Terminal E F","8439","8439","005401","1","1"
"NOR","M2","NOR_6255_V26_M","30th Street Station","6255","6255","228004","1","1"
