"block_id","direction_id","original_trip_id","route_id","trip_headsign","shape_id","service_id","trip_id","trip_short_name","wheelchair_accessible"
"a_719","1","TRE_719_V51_M","TRE","Trenton","007701","M2_merged_815010","TRE_719_V51_M_merged_815308","719","1"
"a_215","1","NOR_215_V37_M","NOR","Center City Philadelphia","228007","M3_merged_815009","NOR_215_V37_M_merged_815367","215","1"
"b_3501","1","WTR_3501_V50_M","WTR","Center City Philadelphia","327007","M2_merged_815013","WTR_3501_V50_M_merged_816046","3501","1"
"a_2524","0","LAN_2524_V50_M","LAN","Doylestown","406538","M2_merged_815010","LAN_2524_V50_M_merged_815716","2524","1"
"b_9476","0","AIR_9476_V54_M","AIR","Center City Philadelphia","401007","M1_merged_815011","AIR_9476_V54_M_merged_816518","9476","1"
"a_3529","1","PAO_3529_V52_M","PAO","Paoli/Thorndale","007505","M2_merged_815010","PAO_3529_V52_M_merged_815866","3529","1"
"a_8389","1","MED_8389_V25_M","MED","Elwyn","007301","M1_merged_815008","MED_8389_V25_M_merged_815563","8389","1"
"a_710","0","CHE_710_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815010","CHE_710_V51_M_merged_815851","710","1"
"a_4360","0","WTR_4360_V37_M","WTR","West Trenton","406327","M3_merged_815009","WTR_4360_V37_M_merged_815677","4360","1"
"b_413","1","WAR_413_V37_M","WAR","Center City Philadelphia","417007","M3_merged_815012","WAR_413_V37_M_merged_816311","413","1"
"b_216","0","NOR_216_V37_M","NOR","Norristown - Elm Street","406228","M3_merged_815012","NOR_216_V37_M_merged_816345","216","1"
"b_5219","1","WIL_5219_V51_M","WIL","Marcus Hook","007205","M2_merged_815013","WIL_5219_V51_M_merged_816474","5219","1"
"a_5523","1","","PAO","Center City Philadelphia","522505","M3_merged_815009","PAO_5523_V37_M","5523","1"
"a_405","1","AIR_405_V50_M","AIR","Airport Terminal E F","007401","M2_merged_815010","AIR_405_V50_M_merged_815434","405","1"
"a_9476","0","AIR_9476_V52_M","AIR","Center City Philadelphia","401007","M2_merged_815010","AIR_9476_V52_M_merged_815547","9476","1"
"b_3509","1","PAO_3509_V52_M","PAO","Paoli/Thorndale","007501","M2_merged_815013","PAO_3509_V52_M_merged_816166","3509","1"
"b_538","0","LAN_538_V26_M","LAN","Doylestown","004538","M1_merged_815011","LAN_538_V26_M_merged_816642","538","1"
