service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20260524,20260613
12,0,0,0,0,0,1,0,20260524,20260613
13,0,0,0,0,0,0,1,20260524,20260613
16,1,1,1,1,1,0,0,20260524,20260613
18,0,0,0,0,0,1,0,20260524,20260613
19,0,0,0,0,0,0,1,20260524,20260613
22,1,1,1,1,1,0,0,20260524,20260613
24,0,0,0,0,0,1,0,20260524,20260613
25,0,0,0,0,0,0,1,20260524,20260613
28,1,1,1,1,1,0,0,20260524,20260613
30,0,0,0,0,0,1,0,20260524,20260613
31,0,0,0,0,0,0,1,20260524,20260613
40,1,1,1,1,1,0,0,20260524,20260613
42,0,0,0,0,0,1,0,20260524,20260613
43,0,0,0,0,0,0,1,20260524,20260613
46,1,1,1,1,1,0,0,20260524,20260613
48,0,0,0,0,0,1,0,20260524,20260613
49,0,0,0,0,0,0,1,20260524,20260613
52,1,1,1,1,1,0,0,20260524,20260613
54,0,0,0,0,0,1,0,20260524,20260613
55,0,0,0,0,0,0,1,20260524,20260613
