Routeid|ATISID|Route|DOW|Dir|SG|Begindate|Enddate|Start_TripId|End_TripId|status_id
       3|459539|     BNTNM|0|I|19|20190908|20190908|   94|   94|
       3|459540|     BNTNM|0|I|20|20190908|20190908|   95|   95|
       3|459541|     BNTNM|0|I|21|20190908|20190908|   96|   96|
       3|459542|     BNTNM|0|I|22|20190908|20190908|   97|   97|
       3|459543|     BNTNM|0|I|23|20190908|20190908|   98|   98|
       3|459544|     BNTNM|0|I|24|20190908|20190908|   99|   99|
       3|459545|     BNTNM|0|I|25|20190908|20190908|  100|  100|
       3|459546|     BNTNM|0|I|26|20190908|20190908|  101|  101|
       3|459547|     BNTNM|0|I|27|20190908|20190908|  102|  102|
       3|459548|     BNTNM|0|I|28|20190908|20190908|  103|  103|
       3|459549|     BNTNM|0|I|29|20190908|20190908|  104|  104|
       3|459550|     BNTNM|0|I|30|20190908|20190908|  105|  105|
       3|459551|     BNTNM|0|I|31|20190908|20190908|  106|  106|
       3|459552|     BNTNM|0|I|32|20190908|20190908|  107|  107|
       3|459553|     BNTNM|0|I|33|20190908|20190908|  108|  108|
       3|459554|     BNTNM|0|I|34|20190908|20190908|  109|  109|
       3|459555|     BNTNM|0|I|35|20190908|20190908|  110|  110|
       3|459556|     BNTNM|0|I|36|20190908|20190908|  111|  111|
       3|459557|     BNTNM|0|I|37|20190908|20190908|  112|  112|
       3|459558|     BNTNM|0|I|38|20190908|20190908|  113|  113|
       3|459559|     BNTNM|0|I|39|20190908|20190908|  114|  114|
       3|459560|     BNTNM|0|I|40|20190908|20190908|  115|  115|
       3|459561|     BNTNM|0|I|41|20190908|20190908|  116|  116|
       3|478343|     BNTNM|0|I|42|20191112|20191112|  117|  117|
       3|478344|     BNTNM|0|I|43|20191112|20191112|  118|  118|
       3|478345|     BNTNM|0|I|44|20191112|20191112|  119|  119|
       3|478346|     BNTNM|0|I|45|20191112|20191112|  120|  120|
       3|478347|     BNTNM|0|I|46|20191112|20191112|  121|  121|
       3|478348|     BNTNM|0|I|47|20191112|20191112|  122|  122|
       3|478349|     BNTNM|0|I|48|20191112|20191112|  123|  123|
       3|478350|     BNTNM|0|I|49|20191112|20191112|  124|  124|
       3|478351|     BNTNM|0|I|50|20191112|20191112|  125|  125|
       3|478352|     BNTNM|0|I|51|20191112|20191112|  126|  126|
       3|478353|     BNTNM|0|I|52|20191112|20191112|  127|  127|
       3|478354|     BNTNM|0|I|53|20191112|20191112|  128|  128|
       3|478355|     BNTNM|0|I|54|20191111|20191111|  129|  129|
       3|478356|     BNTNM|0|I|55|20191112|20191112|  130|  130|
       3|478357|     BNTNM|0|I|56|20191112|20191112|  131|  131|
       3|478358|     BNTNM|0|I|57|20191112|20191112|  132|  132|
       3|478359|     BNTNM|0|I|58|20191112|20191112|  133|  133|
       3|478360|     BNTNM|0|I|59|20191112|20191112|  134|  134|
       3|478361|     BNTNM|0|I|60|20191112|20191112|  135|  135|
       3|478362|     BNTNM|0|I|61|20191112|20191112|  136|  136|
       3|478363|     BNTNM|0|I|62|20191112|20191112|  137|  137|
       3|478364|     BNTNM|0|I|63|20191112|20191112|  138|  138|
       3|459563|     BNTNM|0|O| 1|20190907|20190907|  139|  139|
       3|459564|     BNTNM|0|O| 2|20190908|20190908|  140|  140|
       3|459565|     BNTNM|0|O| 3|20190908|20190908|  141|  141|
       3|459566|     BNTNM|0|O| 4|20190908|20190908|  142|  142|
       3|459567|     BNTNM|0|O| 5|20190907|20190907|  143|  143|
       3|459568|     BNTNM|0|O| 6|20190907|20190907|  144|  144|
       3|459570|     BNTNM|0|O| 8|20190907|20190907|  145|  145|
       3|459571|     BNTNM|0|O| 9|20190908|20190908|  146|  146|
       3|459572|     BNTNM|0|O|10|20190908|20190908|  147|  147|
       3|459573|     BNTNM|0|O|11|20190908|20190908|  148|  148|
       3|459574|     BNTNM|0|O|12|20190908|20190908|  149|  149|
       3|459575|     BNTNM|0|O|13|20190908|20190908|  150|  150|
       3|459576|     BNTNM|0|O|14|20190908|20190908|  151|  151|
       3|459577|     BNTNM|0|O|15|20190908|20190908|  152|  152|
       3|459578|     BNTNM|0|O|16|20190908|20190908|  153|  153|
       3|459579|     BNTNM|0|O|17|20190908|20190908|  154|  154|
       3|459580|     BNTNM|0|O|18|20190908|20190908|  155|  155|
       3|459581|     BNTNM|0|O|19|20190908|20190908|  156|  156|
       3|459582|     BNTNM|0|O|20|20190908|20190908|  157|  157|
       3|459583|     BNTNM|0|O|21|20190908|20190908|  158|  158|
       3|459584|     BNTNM|0|O|22|20190908|20190908|  159|  159|
       3|459585|     BNTNM|0|O|23|20190908|20190908|  160|  160|
       3|459586|     BNTNM|0|O|24|20190908|20190908|  161|  161|
       3|459587|     BNTNM|0|O|25|20190908|20190908|  162|  162|
       3|459588|     BNTNM|0|O|26|20190908|20190908|  163|  163|
       3|459589|     BNTNM|0|O|27|20190908|20190908|  164|  164|
       3|459590|     BNTNM|0|O|28|20190908|20190908|  165|  165|
       3|459591|     BNTNM|0|O|29|20190908|20190908|  166|  166|
       3|459592|     BNTNM|0|O|30|20190908|20190908|  167|  167|
       3|459593|     BNTNM|0|O|31|20190908|20190908|  168|  168|
       3|459594|     BNTNM|0|O|32|20190908|20190908|  169|  169|
       3|459595|     BNTNM|0|O|33|20190908|20190908|  170|  170|
       3|459596|     BNTNM|0|O|34|20190908|20190908|  171|  171|
       3|459597|     BNTNM|0|O|35|20190908|20190908|  172|  172|
       3|459598|     BNTNM|0|O|36|20190908|20190908|  173|  173|
       3|459599|     BNTNM|0|O|37|20190908|20190908|  174|  174|
       3|459600|     BNTNM|0|O|38|20190908|20190908|  175|  175|
       3|459601|     BNTNM|0|O|39|20190908|20190908|  176|  176|
       3|459602|     BNTNM|0|O|40|20190908|20190908|  177|  177|
       3|459603|     BNTNM|0|O|41|20190908|20190908|  178|  178|
       3|478366|     BNTNM|0|O|42|20191111|20191111|  179|  179|
       3|478367|     BNTNM|0|O|43|20191112|20191112|  180|  180|
       3|478368|     BNTNM|0|O|44|20191112|20191112|  181|  181|
       3|478369|     BNTNM|0|O|45|20191112|20191112|  182|  182|
       3|478370|     BNTNM|0|O|46|20191112|20191112|  183|  183|
       3|478371|     BNTNM|0|O|47|20191112|20191112|  184|  184|
       3|478372|     BNTNM|0|O|48|20191112|20191112|  185|  185|
       3|478373|     BNTNM|0|O|49|20191112|20191112|  186|  186|
       3|478374|     BNTNM|0|O|50|20191112|20191112|  187|  187|
       3|478375|     BNTNM|0|O|51|20191112|20191112|  188|  188|
