"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id","bikes_allowed","wheelchair_accessible"
1,1,1,"Lindelwold Special",1,1,1,1
1,1,2,"Lindelwold Special",1,1,1,1
1,1,3,"Lindelwold Special",1,1,1,1
1,1,4,"Lindelwold Special",1,1,1,1
1,1,5,"Lindelwold Special",1,1,1,1
1,1,6,"Lindelwold Special",1,1,1,1
1,1,7,"Lindenwold Local",1,1,1,1
1,1,8,"Lindenwold Local",1,1,1,1
1,1,9,"Lindenwold Local",1,1,1,1
1,1,10,"Lindenwold Local",1,1,1,1
1,1,11,"Lindenwold Local",1,1,1,1
1,1,12,"Lindenwold Local",1,1,1,1
1,1,13,"Lindenwold Local",1,1,1,1
1,1,14,"Lindenwold Local",1,1,1,1
1,1,15,"Lindenwold Local",1,1,1,1
1,1,16,"Lindenwold Local",1,1,1,1
