service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20200614,20201231
12,0,0,0,0,0,1,0,20200614,20201231
13,0,0,0,0,0,0,1,20200614,20201231
16,1,1,1,1,1,0,0,20200614,20201231
18,0,0,0,0,0,1,0,20200614,20201231
19,0,0,0,0,0,0,1,20200614,20201231
22,1,1,1,1,1,0,0,20200614,20201231
24,0,0,0,0,0,1,0,20200614,20201231
25,0,0,0,0,0,0,1,20200614,20201231
28,1,1,1,1,1,0,0,20200614,20201231
30,0,0,0,0,0,1,0,20200614,20201231
31,0,0,0,0,0,0,1,20200614,20201231
40,1,1,1,1,1,0,0,20200614,20201231
42,0,0,0,0,0,1,0,20200614,20201231
43,0,0,0,0,0,0,1,20200614,20201231
46,1,1,1,1,1,0,0,20200614,20201231
48,0,0,0,0,0,1,0,20200614,20201231
49,0,0,0,0,0,0,1,20200614,20201231
52,1,1,1,1,1,0,0,20200614,20201231
54,0,0,0,0,0,1,0,20200614,20201231
55,0,0,0,0,0,0,1,20200614,20201231
