route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
MED,M3,MED_5323_V6_M,Elwyn,5323,5323,007301,1
WAR,M1,WAR_6419_V55_M,Center City Philadelphia,6419,6419,417004,1
TRE,M4,TRE_9719_V7_M,Trenton,9719,9719,007701,1
AIR,M1,AIR_9419_V1_M,Airport,9419,9419,007401,1
CHE,M3,CHE_4760_V6_M,Chestnut Hill East,4760,4760,406720,0
AIR,M3,AIR_7457_V6_M,Airport Terminal E F,7457,7457,007401,1
WAR,M1,WAR_478_V5_M,Carmel,478,478,406411,0
NOR,M1,NOR_252_V55_M,Norristown - Elm Street,252,252,406228,0
AIR,M1,AIR_429_V5_M,Airport Terminal E F,429,429,007401,1
MED,M1,MED_9351_V5_M,Media/Elwyn,9351,9351,007301,1
AIR,M1,AIR_407_V1_M,Airport Terminal E F,407,407,007401,1
CHW,M1,CHW_838_V5_M,Center City Philadelphia,838,838,801004,0
TRE,M4,TRE_9726_V7_M,Center City Philadelphia,9726,9726,701007,0
FOX,M1,FOX_826_V5_M,Fox Chase,826,826,004815,0
CHE,M4,CHE_7461_V7_M,Center City Philadelphia,7461,7461,720007,1
LAN,M3,LAN_5339_V6_M,Center City Philadelphia,5339,5339,538007,1
FOX,M1,FOX_805_V5_M,Center City Philadelphia,805,805,815007,1
AIR,M3,AIR_443_V6_M,Airport Terminal E F,443,443,007401,1
NOR,M4,NOR_215_V7_M,Center City Philadelphia,215,215,228007,1
MED,M1,MED_389_V5_M,Elwyn,389,389,007301,1
PAO,M4,PAO_5364_V7_M,Center City Philadelphia,5364,5364,505004,0
AIR,M4,AIR_455_V7_M,Airport Terminal E F,455,455,007401,1
LAN,M1,LAN_586_V5_M,Lansdale,586,586,004531,0
TRE,M3,TRE_9718_V6_M,Center City Philadelphia,9718,9718,701007,0
AIR,M3,AIR_415_V6_M,Airport Terminal E F,415,415,007401,1
LAN,M4,LAN_5315_V7_M,Center City Philadelphia,5315,5315,538007,1
WAR,M1,WAR_435_V5_M,Center City Philadelphia,435,435,411007,1
WIL,M4,WIL_228_V7_M,Center City Philadelphia,228,228,205406,0
AIR,M3,AIR_472_V6_M,Center City Philadelphia,472,472,401406,0
NOR,M4,NOR_227_V7_M,Center City Philadelphia,227,227,228007,1
PAO,M1,PAO_5714_V55_M,Center City Philadelphia,5714,5714,501007,0
PAO,M1,PAO_580_V5_M,Center City Philadelphia,580,580,501004,0
NOR,M4,NOR_216_V7_M,Norristown - Elm Street,216,216,406228,0
NOR,M4,NOR_228_V7_M,Norristown - Elm Street,228,228,406228,0
WTR,M1,WTR_6306_V55_M,West Trenton,6306,6306,004327,0
WIL,M1,WIL_9214_V5_M,Center City Philadelphia,9214,9214,205007,0
AIR,M1,AIR_453_V5_M,Airport Terminal E F,453,453,007401,1
CHE,M1,CHE_6710_V5_M,Chestnut Hill East,6710,6710,004720,0
CHE,M1,CHE_731_V5_M,Center City Philadelphia,731,731,720007,1
WIL,M3,WIL_9201_V6_M,Wilminton,9201,9201,007205,1
PAO,M3,PAO_1521_V66_M,Paoli/Thorndale,1521,1521,006501,1
CYN,M1,CYN_1071_V5_M,Bala Cynwyd,1071,1071,005001,1
AIR,M4,AIR_403_V7_M,Airport Terminal E F,403,403,007401,1
WTR,M3,WTR_5366_V66_M,West Trenton,5366,5366,004327,0
AIR,M4,AIR_467_V7_M,Airport Terminal E F,467,467,007401,1
CHE,M1,CHE_735_V5_M,Center City Philadelphia,735,735,720007,1
PAO,M1,PAO_8517_V5_M,Thorndale,8517,8517,007501,1
LAN,M4,LAN_3518_V7_M,Doylestown,3518,3518,406538,0
WAR,M1,WAR_423_V5_M,Center City Philadelphia,423,423,411007,1
FOX,M1,FOX_838_V5_M,Fox Chase,838,838,004815,0
AIR,M4,AIR_4740_V7_M,Center City Philadelphia,4740,4740,401406,0
TRE,M3,TRE_9723_V6_M,Trenton,9723,9723,007701,1
LAN,M4,LAN_5331_V7_M,Center City Philadelphia,5331,5331,538007,1
AIR,M1,AIR_414_V5_M,Center City Philadelphia,414,414,401406,0
AIR,M3,AIR_431_V6_M,Airport Terminal E F,431,431,007401,1
CHW,M3,CHW_822_V6_M,Center City Philadelphia,822,822,801004,0
PAO,M3,PAO_1552_V66_M,Center City Philadelphia,1552,1552,501006,0
LAN,M3,LAN_5309_V6_M,Center City Philadelphia,5309,5309,538007,1
MED,M3,MED_3540_V6_M,Center City Philadelphia,3540,3540,301406,0
CHW,M1,CHW_809_V5_M,Chestnut Hill West,809,809,007801,1
AIR,M1,AIR_434_V5_M,Center City Philadelphia,434,434,401406,0
WIL,M4,WIL_231_V7_M,Marcus Hook,231,231,007205,1
AIR,M1,AIR_424_V5_M,Center City Philadelphia,424,424,401406,0
PAO,M3,PAO_1532_V66_M,Center City Philadelphia,1532,1532,501006,0
NOR,M1,NOR_275_V5_M,Center City Philadelphia,275,275,228007,1
WAR,M1,WAR_429_V5_M,Center City Philadelphia,429,429,417007,1
FOX,M3,FOX_819_V6_M,Center City Philadelphia,819,819,815007,1
WTR,M4,WTR_3551_V7_M,Center City Philadelphia,3551,3551,327007,1
WAR,M1,WAR_4269_V5_M,Center City Philadelphia,4269,4269,411007,1
CHE,M4,CHE_7453_V7_M,Center City Philadelphia,7453,7453,720007,1
CHW,M3,CHW_870_V6_M,Center City Philadelphia,870,870,801004,0
WIL,M4,WIL_227_V7_M,Marcus Hook,227,227,007205,1
NOR,M4,NOR_220_V7_M,Norristown - Elm Street,220,220,406228,0
WAR,M3,WAR_468_V6_M,Warminster,468,468,406417,0
AIR,M4,AIR_7413_V7_M,Airport Terminal E F,7413,7413,007401,1
AIR,M4,AIR_430_V7_M,Center City Philadelphia,430,430,401406,0
AIR,M4,AIR_405_V7_M,Airport Terminal E F,405,405,007401,1
CHE,M3,CHE_7453_V6_M,Center City Philadelphia,7453,7453,720007,1
WTR,M4,WTR_5346_V7_M,West Trenton,5346,5346,004327,0
CHE,M1,CHE_780_V5_M,Chestnut Hill East,780,780,004720,0
PAO,M3,PAO_3527_V6_M,Malvern,3527,3527,007505,1
MED,M1,MED_328_V5_M,Center City Philadelphia,328,328,301406,0
LAN,M4,LAN_3526_V7_M,Doylestown,3526,3526,406538,0
WAR,M3,WAR_423_V6_M,Center City Philadelphia,423,423,417007,1
TRE,M1,TRE_1766_V5_M,Center City Philadelphia,1766,1766,701005,0
WTR,M4,WTR_5360_V7_M,West Trenton,5360,5360,004327,0
MED,M4,MED_5335_V7_M,Elwyn,5335,5335,007301,1
PAO,M1,PAO_568_V4_M,Center City Philadelphia,568,568,505004,0
PAO,M1,PAO_567_V55_M,Bryn Mawr,567,567,007516,1
WIL,M3,WIL_205_V6_M,Wilmington,205,205,007203,1
NOR,M4,NOR_8234_V7_M,Norristown - Elm Street,8234,8234,004228,0
WTR,M4,WTR_3555_V7_M,Center City Philadelphia,3555,3555,327007,1
TRE,M1,TRE_3755_V5_M,Trenton,3755,3755,007701,1
CHE,M4,CHE_4764_V7_M,Chestnut Hill East,4764,4764,406720,0
CHE,M1,CHE_769_V5_M,Center City Philadelphia,769,769,720007,1
TRE,M3,TRE_9725_V6_M,Trenton,9725,9725,007701,1
WAR,M4,WAR_450_V7_M,Warminster,450,450,406417,0
PAO,M3,PAO_5318_V66_M,Center City Philadelphia,5318,5318,505004,0
LAN,M4,LAN_5317_V7_M,Center City Philadelphia,5317,5317,538007,1
AIR,M1,AIR_428_V5_M,Center City Philadelphia,428,428,401406,0
LAN,M1,LAN_575_V55_M,Center City Philadelphia,575,575,538007,1
CHE,M1,CHE_738_V5_M,Chestnut Hill East,738,738,004720,0
LAN,M1,LAN_551_V55_M,Center City Philadelphia,551,551,538007,1
WAR,M1,WAR_466_V5_M,Carmel,466,466,406411,0
LAN,M1,LAN_6598_V55_M,Lansdale,6598,6598,004538,0
MED,M1,MED_2329_V5_M,Elwyn,2329,2329,007301,1
WAR,M4,WAR_446_V7_M,Warminster,446,446,406417,0
CHW,M3,CHW_805_V6_M,Chestnut Hill West,805,805,007801,1
MED,M1,MED_387_V5_M,Elwyn,387,387,007301,1
WTR,M3,WTR_5334_V66_M,West Trenton,5334,5334,004327,0
NOR,M1,NOR_6223_V5_M,Center City Philadelphia,6223,6223,228004,1
WAR,M4,WAR_411_V7_M,Center City Philadelphia,411,411,417007,1
WTR,M4,WTR_5350_V7_M,West Trenton,5350,5350,004327,0
NOR,M3,NOR_214_V6_M,Norristown - Elm Street,214,214,406228,0
AIR,M1,AIR_425_V5_M,Airport Terminal E F,425,425,007401,1
MED,M1,MED_376_V5_M,Center City Philadelphia,376,376,301406,0
CHW,M1,CHW_864_V5_M,Center City Philadelphia,864,864,801004,0
PAO,M3,PAO_3563_V6_M,Thorndale,3563,3563,007501,1
WAR,M3,WAR_450_V6_M,Warminster,450,450,406417,0
WAR,M1,WAR_418_V5_M,Carmel,418,418,406411,0
WTR,M1,WTR_326_V5_M,West Trenton,326,326,406327,0
LAN,M4,LAN_5309_V7_M,Center City Philadelphia,5309,5309,538007,1
PAO,M1,PAO_531_V55_M,Malvern,531,531,007505,1
CHE,M1,CHE_707_V5_M,Center City Philadelphia,707,707,720007,1
WTR,M3,WTR_3569_V6_M,Center City Philadelphia,3569,3569,327007,1
NOR,M3,NOR_213_V6_M,Center City Philadelphia,213,213,228007,1
