"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"WAR","M1","WAR_403_V50_M","Center City Philadelphia","403","403","411005","1","1"
"AIR","M3","AIR_4471_V2_M","Airport Terminal E F","4471","4471","005401","1","1"
"TRE","M1","TRE_733_V51_M","Trenton","733","733","005701","1","1"
"PAO","M1","PAO_4539_V5_M","Bryn Mawr","4539","4539","005516","1","1"
"AIR","M2","AIR_4224_V13_M","Center City Philadelphia","4224","4224","401005","0","1"
"MED","M1","MED_2333_V50_M","Wawa","2333","2333","005300","1","1"
"MED","M3","MED_3538_V14_M","Center City Philadelphia","3538","3538","300005","0","1"
"TRE","M2","TRE_1712_V13_M","Jefferson Station","1712","1712","701006","0","1"
"CHW","M3","CHW_8312_V14_M","Center City Philadelphia","8312","8312","801005","0","1"
"TRE","M1","TRE_722_V51_M","Center City Philadelphia","722","722","701005","0","1"
"NOR","M1","NOR_2329_V50_M","Center City Philadelphia","2329","2329","228005","1","1"
"CHE","M1","CHE_3702_V55_M","Chestnut Hill East","3702","3702","005720","0","1"
"NOR","M1","NOR_2323_V50_M","Center City Philadelphia","2323","2323","228005","1","1"
"NOR","M3","NOR_2453_V14_M","Center City Philadelphia","2453","2453","228005","1","1"
"PAO","M1","PAO_9540_V50_M","Temple University","9540","9540","501007","0","1"
"CHE","M3","CHE_7205_V77_M","Center City Philadelphia","7205","7205","720005","1","1"
"WIL","M1","WIL_2522_V53_M","Center City Philadelphia","2522","2522","201005","0","1"
"NOR","M1","NOR_8242_V58_M","Norristown T.C.","8242","8242","005226","0","1"
"WTR","M2","WTR_3815_V13_M","Center City Philadelphia","3815","3815","327005","1","1"
"LAN","M2","LAN_5361_V13_M","Center City Philadelphia","5361","5361","538005","1","1"
"PAO","M1","PAO_5734_V13_M","Center City Philadelphia","5734","5734","505005","0","1"
"WIL","M3","WIL_2708_V14_M","Center City Philadelphia","2708","2708","203005","0","1"
"MED","M2","MED_3570_V13_M","Center City Philadelphia","3570","3570","300005","0","1"
"MED","M2","MED_3526_V13_M","Center City Philadelphia","3526","3526","300005","0","1"
"FOX","M1","FOX_6848_V55_M","Fox Chase","6848","6848","004815","0","1"
"FOX","M1","FOX_4850_V55_M","Fox Chase","4850","4850","005815","0","1"
