trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
CYN1052_20260622_SID186626,06:00:00,06:00:00,90001,1,Center City Philadelphia,,,,1
CYN1052_20260622_SID186626,06:02:00,06:02:00,90002,2,Center City Philadelphia,,,,1
CYN1052_20260622_SID186626,06:05:00,06:05:00,90003,3,Center City Philadelphia,,,,1
CYN1052_20260622_SID186626,06:17:00,06:17:00,90004,4,Suburban Station,,,,1
CYN1052_20260622_SID186626,06:22:00,06:22:00,90005,5,Suburban Station,,,,1
CYN1055_20260622_SID186626,06:44:00,06:44:00,90005,1,Cynwyd,,,,1
CYN1055_20260622_SID186626,06:49:00,06:49:00,90004,2,Cynwyd,,,,1
CYN1055_20260622_SID186626,07:00:00,07:00:00,90003,3,Cynwyd,,,,1
CYN1055_20260622_SID186626,07:03:00,07:03:00,90002,4,Cynwyd,,,,1
CYN1055_20260622_SID186626,07:06:00,07:06:00,90001,5,Cynwyd,,,,1
CYN1056_20260622_SID186626,07:23:00,07:23:00,90001,1,Center City Philadelphia,,,,1
CYN1056_20260622_SID186626,07:25:00,07:25:00,90002,2,Center City Philadelphia,,,,1
CYN1056_20260622_SID186626,07:28:00,07:28:00,90003,3,Center City Philadelphia,,,,1
CYN1056_20260622_SID186626,07:42:00,07:42:00,90004,4,Suburban Station,,,,1
CYN1056_20260622_SID186626,07:47:00,07:47:00,90005,5,Suburban Station,,,,1
CYN1059_20260622_SID186626,08:10:00,08:10:00,90005,1,Cynwyd,,,,1
CYN1059_20260622_SID186626,08:15:00,08:15:00,90004,2,Cynwyd,,,,1
CYN1059_20260622_SID186626,08:26:00,08:26:00,90003,3,Cynwyd,,,,1
CYN1059_20260622_SID186626,08:29:00,08:29:00,90002,4,Cynwyd,,,,1
CYN1059_20260622_SID186626,08:31:00,08:31:00,90001,5,Cynwyd,,,,1
CYN1060_20260622_SID186626,08:51:00,08:51:00,90001,1,Center City Philadelphia,,,,1
CYN1060_20260622_SID186626,08:53:00,08:53:00,90002,2,Center City Philadelphia,,,,1
CYN1060_20260622_SID186626,08:56:00,08:56:00,90003,3,Center City Philadelphia,,,,1
CYN1060_20260622_SID186626,09:08:00,09:08:00,90004,4,Suburban Station,,,,1
CYN1060_20260622_SID186626,09:13:00,09:13:00,90005,5,Suburban Station,,,,1
CYN1071_20260622_SID186626,12:00:00,12:00:00,90005,1,Cynwyd,,,,1
CYN1071_20260622_SID186626,12:05:00,12:05:00,90004,2,Cynwyd,,,,1
CYN1071_20260622_SID186626,12:16:00,12:16:00,90003,3,Cynwyd,,,,1
CYN1071_20260622_SID186626,12:19:00,12:19:00,90002,4,Cynwyd,,,,1
CYN1071_20260622_SID186626,12:21:00,12:21:00,90001,5,Cynwyd,,,,1
CYN1072_20260622_SID186626,12:36:00,12:36:00,90001,1,Center City Philadelphia,,,,1
CYN1072_20260622_SID186626,12:38:00,12:38:00,90002,2,Center City Philadelphia,,,,1
CYN1072_20260622_SID186626,12:41:00,12:41:00,90003,3,Center City Philadelphia,,,,1
CYN1072_20260622_SID186626,12:53:00,12:53:00,90004,4,Suburban Station,,,,1
CYN1072_20260622_SID186626,12:58:00,12:58:00,90005,5,Suburban Station,,,,1
CYN1081_20260622_SID186626,15:05:00,15:05:00,90005,1,Cynwyd,,,,1
CYN1081_20260622_SID186626,15:10:00,15:10:00,90004,2,Cynwyd,,,,1
CYN1081_20260622_SID186626,15:21:00,15:21:00,90003,3,Cynwyd,,,,1
CYN1081_20260622_SID186626,15:24:00,15:24:00,90002,4,Cynwyd,,,,1
CYN1081_20260622_SID186626,15:26:00,15:26:00,90001,5,Cynwyd,,,,1
CYN1082_20260622_SID186626,15:46:00,15:46:00,90001,1,Center City Philadelphia,,,,1
CYN1082_20260622_SID186626,15:48:00,15:48:00,90002,2,Center City Philadelphia,,,,1
CYN1082_20260622_SID186626,15:51:00,15:51:00,90003,3,Center City Philadelphia,,,,1
CYN1082_20260622_SID186626,16:03:00,16:03:00,90004,4,Suburban Station,,,,1
CYN1082_20260622_SID186626,16:08:00,16:08:00,90005,5,Suburban Station,,,,1
CYN1083_20260622_SID186626,16:37:00,16:37:00,90005,1,Cynwyd,,,,1
CYN1083_20260622_SID186626,16:42:00,16:42:00,90004,2,Cynwyd,,,,1
CYN1083_20260622_SID186626,16:53:00,16:53:00,90003,3,Cynwyd,,,,1
CYN1083_20260622_SID186626,16:56:00,16:56:00,90002,4,Cynwyd,,,,1
CYN1083_20260622_SID186626,16:58:00,16:58:00,90001,5,Cynwyd,,,,1
CYN1084_20260622_SID186626,17:15:00,17:15:00,90001,1,Center City Philadelphia,,,,1
CYN1084_20260622_SID186626,17:17:00,17:17:00,90002,2,Center City Philadelphia,,,,1
CYN1084_20260622_SID186626,17:20:00,17:20:00,90003,3,Center City Philadelphia,,,,1
CYN1084_20260622_SID186626,17:32:00,17:32:00,90004,4,Suburban Station,,,,1
CYN1084_20260622_SID186626,17:37:00,17:37:00,90005,5,Suburban Station,,,,1
CYN1085_20260622_SID186626,17:57:00,17:57:00,90005,1,Cynwyd,,,,1
CYN1085_20260622_SID186626,18:02:00,18:02:00,90004,2,Cynwyd,,,,1
CYN1085_20260622_SID186626,18:13:00,18:13:00,90003,3,Cynwyd,,,,1
CYN1085_20260622_SID186626,18:16:00,18:16:00,90002,4,Cynwyd,,,,1
CYN1085_20260622_SID186626,18:18:00,18:18:00,90001,5,Cynwyd,,,,1
TRE1705_20260622_SID186626,05:25:00,05:25:00,90005,1,Trenton,,,,1
