route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CHE,SID189756,CHE7205_20260621_SID189756_SID189756,Center City Philadelphia,CHE7205,1,7205,720004,1,0
WIL,SID189756,WIL7205_20260621_SID189756_SID189756,Wilmington,WIL7205,1,7205,007201,1,0
CHE,SID189756,CHE7209_20260621_SID189756_SID189756,Center City Philadelphia,CHE7209,1,7209,720004,1,0
WIL,SID189756,WIL7209_20260621_SID189756_SID189756,Wilmington,WIL7209,1,7209,007201,1,0
CHE,SID189756,CHE7213_20260621_SID189756_SID189756,Center City Philadelphia,CHE7213,1,7213,720004,1,0
WIL,SID189756,WIL7213_20260621_SID189756_SID189756,Wilmington,WIL7213,1,7213,007201,1,0
CHE,SID189756,CHE7217_20260621_SID189756_SID189756,Center City Philadelphia,CHE7217,1,7217,720004,1,0
WIL,SID189756,WIL7217_20260621_SID189756_SID189756,Wilmington,WIL7217,1,7217,007201,1,0
CHE,SID189756,CHE7221_20260621_SID189756_SID189756,Center City Philadelphia,CHE7221,1,7221,720004,1,0
WIL,SID189756,WIL7221_20260621_SID189756_SID189756,Wilmington,WIL7221,1,7221,007201,1,0
CHE,SID189756,CHE7225_20260621_SID189756_SID189756,Center City Philadelphia,CHE7225,1,7225,720004,1,0
WIL,SID189756,WIL7225_20260621_SID189756_SID189756,Wilmington,WIL7225,1,7225,007201,1,0
CHE,SID189756,CHE7229_20260621_SID189756_SID189756,Center City Philadelphia,CHE7229,1,7229,720004,1,0
WIL,SID189756,WIL7229_20260621_SID189756_SID189756,Wilmington,WIL7229,1,7229,007201,1,0
CHE,SID189756,CHE7233_20260621_SID189756_SID189756,Center City Philadelphia,CHE7233,1,7233,720004,1,0
WIL,SID189756,WIL7233_20260621_SID189756_SID189756,Wilmington,WIL7233,1,7233,007201,1,0
CHE,SID189756,CHE7237_20260621_SID189756_SID189756,Center City Philadelphia,CHE7237,1,7237,720004,1,0
WIL,SID189756,WIL7237_20260621_SID189756_SID189756,Wilmington,WIL7237,1,7237,007201,1,0
CHE,SID189324,CHE7281_20260622_SID189324_SID189324,Center City Philadelphia,CHE7281,1,7281,720004,1,0
WIL,SID189324,WIL7281_20260622_SID189324_SID189324,Newark DE,WIL7281,1,7281,007201,1,2
TRE,SID189815,TRE7284_20260622_SID189815_SID189815,Center City Philadelphia,TRE7284,0,7284,701007,1,2
NOR,SID189815,NOR7284_20260622_SID189815_SID189815,Norristown Elm Street,NOR7284,0,7284,004228,1,2
CHE,SID189324,CHE7419_20260622_SID189324_SID189324,Center City Philadelphia,CHE7419,1,7419,720004,1,2
AIR,SID189324,AIR7419_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7419,1,7419,007401,1,2
CHE,SID189324,CHE7423_20260622_SID189324_SID189324,Center City Philadelphia,CHE7423,1,7423,720004,1,2
AIR,SID189324,AIR7423_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7423,1,7423,007401,1,0
CHE,SID189324,CHE7427_20260622_SID189324_SID189324,Center City Philadelphia,CHE7427,1,7427,720004,1,0
AIR,SID189324,AIR7427_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7427,1,7427,007401,1,0
CHE,SID189324,CHE7431_20260622_SID189324_SID189324,Center City Philadelphia,CHE7431,1,7431,720004,1,0
AIR,SID189324,AIR7431_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7431,1,7431,007401,1,0
CHE,SID189324,CHE7435_20260622_SID189324_SID189324,Center City Philadelphia,CHE7435,1,7435,720004,1,0
AIR,SID189324,AIR7435_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7435,1,7435,007401,1,0
CHE,SID189324,CHE7439_20260622_SID189324_SID189324,Center City Philadelphia,CHE7439,1,7439,720004,1,0
AIR,SID189324,AIR7439_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7439,1,7439,007401,1,0
CHE,SID189324,CHE7443_20260622_SID189324_SID189324,Center City Philadelphia,CHE7443,1,7443,720004,1,0
AIR,SID189324,AIR7443_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7443,1,7443,007401,1,0
CHE,SID189324,CHE7447_20260622_SID189324_SID189324,Center City Philadelphia,CHE7447,1,7447,720004,1,0
AIR,SID189324,AIR7447_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7447,1,7447,007401,1,2
CHE,SID189324,CHE7451_20260622_SID189324_SID189324,Center City Philadelphia,CHE7451,1,7451,720004,1,2
AIR,SID189324,AIR7451_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7451,1,7451,007401,1,2
CHE,SID189324,CHE7455_20260622_SID189324_SID189324,Center City Philadelphia,CHE7455,1,7455,720004,1,2
AIR,SID189324,AIR7455_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7455,1,7455,007401,1,2
CHE,SID189324,CHE7459_20260622_SID189324_SID189324,Center City Philadelphia,CHE7459,1,7459,720004,1,2
AIR,SID189324,AIR7459_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7459,1,7459,007401,1,0
CHE,SID189324,CHE7463_20260622_SID189324_SID189324,Center City Philadelphia,CHE7463,1,7463,720004,1,0
AIR,SID189324,AIR7463_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7463,1,7463,007401,1,0
CHE,SID189324,CHE7467_20260622_SID189324_SID189324,Center City Philadelphia,CHE7467,1,7467,720004,1,0
AIR,SID189324,AIR7467_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7467,1,7467,007401,1,0
CHE,SID189324,CHE7471_20260622_SID189324_SID189324,Center City Philadelphia,CHE7471,1,7471,720004,1,0
AIR,SID189324,AIR7471_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7471,1,7471,007401,1,0
CHE,SID189324,CHE7475_20260622_SID189324_SID189324,Center City Philadelphia,CHE7475,1,7475,720004,1,0
AIR,SID189324,AIR7475_20260622_SID189324_SID189324,Airport Terminals E & F,AIR7475,1,7475,007401,1,0
CHE,SID189324,CHE7587_20260622_SID189324_SID189324,Center City Philadelphia,CHE7587,1,7587,720004,1,2
PAO,SID189324,PAO7587_20260622_SID189324_SID189324,Malvern,PAO7587,1,7587,007501,1,2
TRE,SID189324,TRE780_20260622_SID189324_SID189324,Center City Philadelphia,TRE780,0,780,701007,1,0
CHE,SID189324,CHE780_20260622_SID189324_SID189324,Chestnut Hill East,CHE780,0,780,004720,1,2
TRE,SID189324,TRE782_20260622_SID189324_SID189324,Center City Philadelphia,TRE782,0,782,701007,1,2
CHE,SID189324,CHE782_20260622_SID189324_SID189324,Chestnut Hill East,CHE782,0,782,004720,1,2
CHE,SID189324,CHE783_20260622_SID189324_SID189324,Center City Philadelphia,CHE783,1,783,720004,1,2
TRE,SID189324,TRE783_20260622_SID189324_SID189324,Trenton,TRE783,1,783,007701,1,2
CHE,SID189324,CHE785_20260622_SID189324_SID189324,Center City Philadelphia,CHE785,1,785,720004,1,2
TRE,SID189324,TRE785_20260622_SID189324_SID189324,Trenton,TRE785,1,785,007701,1,2
TRE,SID189324,TRE786_20260622_SID189324_SID189324,Center City Philadelphia,TRE786,0,786,701007,1,0
CHE,SID189324,CHE786_20260622_SID189324_SID189324,Chestnut Hill East,CHE786,0,786,004720,1,0
CHE,SID189324,CHE789_20260622_SID189324_SID189324,Center City Philadelphia,CHE789,1,789,720004,1,0
TRE,SID189324,TRE789_20260622_SID189324_SID189324,Trenton,TRE789,1,789,007701,1,0
CHW,SID189324,CHW800_20260622_SID189324_SID189324,Temple University,CHW800,0,800,801007,1,2
FOX,SID189324,FOX801_20260622_SID189324_SID189324,Center City Philadelphia,FOX801,1,801,815005,1,0
CHW,SID189324,CHW801_20260622_SID189324_SID189324,Chestnut Hill West,CHW801,1,801,007801,1,2
CHW,SID189324,CHW802_20260622_SID189324_SID189324,Center City Philadelphia,CHW802,0,802,801007,1,2
FOX,SID189324,FOX802_20260622_SID189324_SID189324,Fox Chase,FOX802,0,802,004815,1,2
FOX,SID189324,FOX803_20260622_SID189324_SID189324,Center City Philadelphia,FOX803,1,803,815005,1,2
CHW,SID189324,CHW803_20260622_SID189324_SID189324,Chestnut Hill West,CHW803,1,803,007801,1,2
