"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"CYN","SID185176","CYN1052_20250902_SID185176","Suburban Station","0","1052","001005","1"
"CYN","SID185176","CYN1055_20250902_SID185176","Cynwyd","1","1055","005001","1"
"CYN","SID185176","CYN1056_20250902_SID185176","Suburban Station","0","1056","001005","1"
"CYN","SID185176","CYN1059_20250902_SID185176","Cynwyd","1","1059","005001","1"
"CYN","SID185176","CYN1060_20250902_SID185176","Suburban Station","0","1060","001005","1"
"CYN","SID185176","CYN1071_20250902_SID185176","Cynwyd","1","1071","005001","1"
"CYN","SID185176","CYN1072_20250902_SID185176","Suburban Station","0","1072","001005","1"
"CYN","SID185176","CYN1081_20250902_SID185176","Cynwyd","1","1081","005001","1"
"CYN","SID185176","CYN1082_20250902_SID185176","Suburban Station","0","1082","001005","1"
"CYN","SID185176","CYN1083_20250902_SID185176","Cynwyd","1","1083","005001","1"
"CYN","SID185176","CYN1084_20250902_SID185176","Suburban Station","0","1084","001005","1"
"CYN","SID185176","CYN1085_20250902_SID185176","Cynwyd","1","1085","005001","1"
"WIL","SID185176","WIL1226_20250902_SID185176","Suburban Station","0","1226","201007","1"
"TRE","SID185176","TRE1701_20250902_SID185176","Trenton","1","1701","007701","1"
"NOR","SID185176","NOR203_20250902_SID185176","Center City Philadelphia","1","203","228004","1"
"WIL","SID185176","WIL203_20250902_SID185176","Marcus Hook","1","203","007201","1"
"WIL","SID185176","WIL206_20250902_SID185176","Center City Philadelphia","0","206","201007","1"
"NOR","SID185176","NOR206_20250902_SID185176","Norristown Elm Street","0","206","004228","1"
"NOR","SID185176","NOR207_20250902_SID185176","Center City Philadelphia","1","207","228004","1"
"WIL","SID185176","WIL207_20250902_SID185176","Wilmington","1","207","007201","1"
"WIL","SID185176","WIL220_20250902_SID185176","Center City Philadelphia","0","220","201007","1"
"NOR","SID185176","NOR220_20250902_SID185176","Norristown Elm Street","0","220","004228","1"
"NOR","SID185176","NOR2303_20250902_SID185176","Center City Philadelphia","1","2303","228004","1"
"MED","SID185176","MED2303_20250902_SID185176","Wawa","1","2303","007300","1"
"NOR","SID185176","NOR2305_20250902_SID185176","Center City Philadelphia","1","2305","228004","1"
"MED","SID185176","MED2305_20250902_SID185176","Wawa","1","2305","007300","1"
"NOR","SID185176","NOR2309_20250902_SID185176","Center City Philadelphia","1","2309","228004","1"
"MED","SID185176","MED2309_20250902_SID185176","Wawa","1","2309","007300","1"
"NOR","SID185176","NOR2311_20250902_SID185176","Center City Philadelphia","1","2311","228004","1"
"MED","SID185176","MED2311_20250902_SID185176","Wawa","1","2311","007300","1"
"NOR","SID185176","NOR2313_20250902_SID185176","Center City Philadelphia","1","2313","228004","1"
"MED","SID185176","MED2313_20250902_SID185176","Wawa","1","2313","007300","1"
"NOR","SID185176","NOR2315_20250902_SID185176","Center City Philadelphia","1","2315","228004","1"
"MED","SID185176","MED2315_20250902_SID185176","Wawa","1","2315","007300","1"
"NOR","SID185176","NOR2319_20250902_SID185176","Center City Philadelphia","1","2319","228004","1"
"MED","SID185176","MED2319_20250902_SID185176","Wawa","1","2319","007300","1"
"NOR","SID185176","NOR2321_20250902_SID185176","Center City Philadelphia","1","2321","228004","1"
"MED","SID185176","MED2321_20250902_SID185176","Wawa","1","2321","007300","1"
"NOR","SID185176","NOR2323_20250902_SID185176","Center City Philadelphia","1","2323","228004","1"
"MED","SID185176","MED2323_20250902_SID185176","Wawa","1","2323","007300","1"
"NOR","SID185176","NOR2325_20250902_SID185176","Center City Philadelphia","1","2325","228004","1"
"MED","SID185176","MED2325_20250902_SID185176","Wawa","1","2325","007300","1"
"NOR","SID185176","NOR2327_20250902_SID185176","Center City Philadelphia","1","2327","228004","1"
"MED","SID185176","MED2327_20250902_SID185176","Wawa","1","2327","007300","1"
"NOR","SID185176","NOR2329_20250902_SID185176","Center City Philadelphia","1","2329","228004","1"
"MED","SID185176","MED2329_20250902_SID185176","Wawa","1","2329","007300","1"
"NOR","SID185176","NOR2331_20250902_SID185176","Center City Philadelphia","1","2331","228004","1"
"MED","SID185176","MED2331_20250902_SID185176","Wawa","1","2331","007300","1"
"NOR","SID185176","NOR2333_20250902_SID185176","Center City Philadelphia","1","2333","228004","1"
"MED","SID185176","MED2333_20250902_SID185176","Wawa","1","2333","007300","1"
"NOR","SID185176","NOR2335_20250902_SID185176","Center City Philadelphia","1","2335","228004","1"
"MED","SID185176","MED2335_20250902_SID185176","Wawa","1","2335","007300","1"
"WIL","SID185176","WIL2336_20250902_SID185176","Center City Philadelphia","0","2336","201007","1"
"WTR","SID185176","WTR2336_20250902_SID185176","West Trenton","0","2336","004327","1"
"NOR","SID185176","NOR2357_20250902_SID185176","Center City Philadelphia","1","2357","228004","1"
"MED","SID185176","MED2357_20250902_SID185176","Wawa","1","2357","007300","1"
"WIL","SID185176","WIL2500_20250902_SID185176","Center City Philadelphia","0","2500","201007","1"
"LAN","SID185176","LAN2500_20250902_SID185176","Doylestown","0","2500","004538","1"
"NOR","SID185176","NOR2511_20250902_SID185176","Center City Philadelphia","1","2511","228004","1"
"PAO","SID185176","PAO2511_20250902_SID185176","Malvern","1","2511","007501","1"
"WIL","SID185176","WIL2514_20250902_SID185176","Center City Philadelphia","0","2514","201007","1"
"LAN","SID185176","LAN2514_20250902_SID185176","Doylestown","0","2514","004538","1"
"WIL","SID185176","WIL2518_20250902_SID185176","Center City Philadelphia","0","2518","201007","1"
"LAN","SID185176","LAN2518_20250902_SID185176","Doylestown","0","2518","004538","1"
"WIL","SID185176","WIL2522_20250902_SID185176","Center City Philadelphia","0","2522","201007","1"
"LAN","SID185176","LAN2522_20250902_SID185176","Doylestown","0","2522","004538","1"
"WIL","SID185176","WIL2524_20250902_SID185176","Center City Philadelphia","0","2524","201007","1"
"LAN","SID185176","LAN2524_20250902_SID185176","Doylestown","0","2524","004538","1"
"WIL","SID185176","WIL2528_20250902_SID185176","Center City Philadelphia","0","2528","201007","1"
"LAN","SID185176","LAN2528_20250902_SID185176","Doylestown","0","2528","004538","1"
"WIL","SID185176","WIL2530_20250902_SID185176","Center City Philadelphia","0","2530","201007","1"
"LAN","SID185176","LAN2530_20250902_SID185176","Doylestown","0","2530","004538","1"
"NOR","SID185176","NOR2547_20250902_SID185176","Center City Philadelphia","1","2547","228004","1"
"PAO","SID185176","PAO2547_20250902_SID185176","Malvern","1","2547","007501","1"
"NOR","SID185176","NOR2553_20250902_SID185176","Center City Philadelphia","1","2553","228004","1"
"PAO","SID185176","PAO2553_20250902_SID185176","Malvern","1","2553","007501","1"
"NOR","SID185176","NOR2555_20250902_SID185176","Center City Philadelphia","1","2555","228004","1"
"PAO","SID185176","PAO2555_20250902_SID185176","Malvern","1","2555","007501","1"
"NOR","SID185176","NOR2565_20250902_SID185176","Center City Philadelphia","1","2565","228004","1"
"PAO","SID185176","PAO2565_20250902_SID185176","Malvern","1","2565","007501","1"
"MED","SID185176","MED302_20250902_SID185176","Center City Philadelphia","0","302","300007","1"
"WTR","SID185176","WTR302_20250902_SID185176","West Trenton","0","302","004327","1"
"WTR","SID185176","WTR303_20250902_SID185176","Center City Philadelphia","1","303","327004","1"
"MED","SID185176","MED303_20250902_SID185176","Media","1","303","007300","1"
"MED","SID185176","MED304_20250902_SID185176","Temple University","0","304","300007","1"
"MED","SID185176","MED306_20250902_SID185176","Center City Philadelphia","0","306","300007","1"
"WTR","SID185176","WTR306_20250902_SID185176","West Trenton","0","306","004327","1"
"MED","SID185176","MED3200_20250902_SID185176","Center City Philadelphia","0","3200","300007","1"
"NOR","SID185176","NOR3200_20250902_SID185176","Norristown Elm Street","0","3200","004228","1"
"MED","SID185176","MED3206_20250902_SID185176","Center City Philadelphia","0","3206","300007","1"
"NOR","SID185176","NOR3206_20250902_SID185176","Norristown Transit Center","0","3206","004228","1"
"MED","SID185176","MED3208_20250902_SID185176","Center City Philadelphia","0","3208","300007","1"
"NOR","SID185176","NOR3208_20250902_SID185176","Norristown Elm Street","0","3208","004228","1"
"WTR","SID185176","WTR3209_20250902_SID185176","Center City Philadelphia","1","3209","327004","1"
"WIL","SID185176","WIL3209_20250902_SID185176","Wilmington","1","3209","007201","1"
"MED","SID185176","MED3212_20250902_SID185176","Center City Philadelphia","0","3212","300007","1"
"NOR","SID185176","NOR3212_20250902_SID185176","Norristown Elm Street","0","3212","004228","1"
"MED","SID185176","MED3214_20250902_SID185176","Center City Philadelphia","0","3214","300007","1"
"NOR","SID185176","NOR3214_20250902_SID185176","Norristown Elm Street","0","3214","004228","1"
"MED","SID185176","MED3218_20250902_SID185176","Center City Philadelphia","0","3218","300007","1"
"NOR","SID185176","NOR3218_20250902_SID185176","Norristown Elm Street","0","3218","004228","1"
"WTR","SID185176","WTR3219_20250902_SID185176","Center City Philadelphia","1","3219","327004","1"
"WIL","SID185176","WIL3219_20250902_SID185176","Newark DE","1","3219","007201","1"
"MED","SID185176","MED3220_20250902_SID185176","Center City Philadelphia","0","3220","300007","1"
"NOR","SID185176","NOR3220_20250902_SID185176","Norristown Elm Street","0","3220","004228","1"
"MED","SID185176","MED3222_20250902_SID185176","Center City Philadelphia","0","3222","300007","1"
"NOR","SID185176","NOR3222_20250902_SID185176","Norristown Elm Street","0","3222","004228","1"
