route_id,direction_id,stop_id,route_stop_sort_order
WIL,1,90206,17
WIL,1,90205,18
WIL,1,90204,19
WIL,1,90203,20
WIL,1,90202,21
WIL,1,90201,22
WTR,0,90406,0
WTR,0,90004,1
WTR,0,90005,2
WTR,0,90006,3
WTR,0,90007,4
WTR,0,90407,5
WTR,0,90408,6
WTR,0,90409,7
WTR,0,90410,8
WTR,0,90315,9
WTR,0,90316,10
WTR,0,90317,11
WTR,0,90318,12
WTR,0,90319,13
WTR,0,90320,14
WTR,0,90321,15
WTR,0,90322,16
WTR,0,90323,17
WTR,0,90324,18
WTR,0,90325,19
WTR,0,90326,20
WTR,0,90327,21
WTR,1,90327,1
WTR,1,90326,2
WTR,1,90325,3
WTR,1,90324,4
WTR,1,90323,5
WTR,1,90322,6
WTR,1,90321,7
WTR,1,90320,8
WTR,1,90319,9
WTR,1,90318,10
WTR,1,90317,11
WTR,1,90316,12
WTR,1,90315,13
WTR,1,90410,14
WTR,1,90409,15
WTR,1,90408,16
WTR,1,90407,17
WTR,1,90007,18
WTR,1,90006,19
WTR,1,90005,20
WTR,1,90004,21
WTR,1,90406,22
