route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
LAN,SID189324,LAN6541_20260622_SID189324,Gray 30th St Station,1,6541,538004,2,1,LAN6541
LAN,SID189755,LAN6544_20260711_SID189755,Lansdale,0,6544,004538,0,1,LAN6544
LAN,SID189324,LAN6550_20260622_SID189324,Doylestown,0,6550,004538,2,1,LAN6550
LAN,SID189324,LAN6571_20260622_SID189324,Gray 30th St Station,1,6571,538004,0,1,LAN6571
LAN,SID189324,LAN6580_20260622_SID189324,Lansdale,0,6580,004538,2,1,LAN6580
LAN,SID189324,LAN6581_20260622_SID189324,Gray 30th St Station,1,6581,538004,2,1,LAN6581
LAN,SID189324,LAN6582_20260622_SID189324,Lansdale,0,6582,004538,2,1,LAN6582
LAN,SID189324,LAN6583_20260622_SID189324,Gray 30th St Station,1,6583,538004,2,1,LAN6583
CHE,SID189327,CHE6704_20260621_SID189327,Chestnut Hill East,0,6704,004720,0,1,CHE6704
CHE,SID189324,CHE6744_20260622_SID189324,Chestnut Hill East,0,6744,004720,2,1,CHE6744
FOX,SID189324,FOX6807_20260622_SID189324,Gray 30th St Station,1,6807,815005,2,1,FOX6807
FOX,SID189324,FOX6813_20260622_SID189324,Gray 30th St Station,1,6813,815005,2,1,FOX6813
FOX,SID189324,FOX6844_20260622_SID189324,Fox Chase,0,6844,004815,2,1,FOX6844
FOX,SID189324,FOX6873_20260622_SID189324,Gray 30th St Station,1,6873,815005,0,1,FOX6873
CHE,SID189756,CHE7205_20260621_SID189756,Center City Philadelphia,1,7205,720004,0,1,CHE7205
WIL,SID189756,WIL7205_20260621_SID189756,Wilmington,1,7205,007201,0,1,WIL7205
CHE,SID189756,CHE7209_20260621_SID189756,Center City Philadelphia,1,7209,720004,0,1,CHE7209
WIL,SID189756,WIL7209_20260621_SID189756,Wilmington,1,7209,007201,0,1,WIL7209
CHE,SID189756,CHE7213_20260621_SID189756,Center City Philadelphia,1,7213,720004,0,1,CHE7213
WIL,SID189756,WIL7213_20260621_SID189756,Wilmington,1,7213,007201,0,1,WIL7213
CHE,SID189756,CHE7217_20260621_SID189756,Center City Philadelphia,1,7217,720004,0,1,CHE7217
WIL,SID189756,WIL7217_20260621_SID189756,Wilmington,1,7217,007201,0,1,WIL7217
CHE,SID189756,CHE7221_20260621_SID189756,Center City Philadelphia,1,7221,720004,0,1,CHE7221
WIL,SID189756,WIL7221_20260621_SID189756,Wilmington,1,7221,007201,0,1,WIL7221
CHE,SID189756,CHE7225_20260621_SID189756,Center City Philadelphia,1,7225,720004,0,1,CHE7225
WIL,SID189756,WIL7225_20260621_SID189756,Wilmington,1,7225,007201,0,1,WIL7225
CHE,SID189756,CHE7229_20260621_SID189756,Center City Philadelphia,1,7229,720004,0,1,CHE7229
WIL,SID189756,WIL7229_20260621_SID189756,Wilmington,1,7229,007201,0,1,WIL7229
CHE,SID189756,CHE7233_20260621_SID189756,Center City Philadelphia,1,7233,720004,0,1,CHE7233
WIL,SID189756,WIL7233_20260621_SID189756,Wilmington,1,7233,007201,0,1,WIL7233
CHE,SID189327,CHE7237_20260621_SID189327,Center City Philadelphia,1,7237,720004,0,1,CHE7237
WIL,SID189327,WIL7237_20260621_SID189327,Wilmington,1,7237,007201,0,1,WIL7237
CHE,SID189324,CHE7281_20260622_SID189324,Center City Philadelphia,1,7281,720004,0,1,CHE7281
WIL,SID189324,WIL7281_20260622_SID189324,Newark DE,1,7281,007201,2,1,WIL7281
TRE,SID189324,TRE7284_20260622_SID189324,Center City Philadelphia,0,7284,701007,2,1,TRE7284
