route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
15234,93,Pottstown to Norristown TC,3,,,
15235,94,Montgomery Mall to Chestnut Hill,3,,,
15236,95,Gulph Mills to Willow Grove Mall,3,,,
15237,96,Lansdale to Norristown TC,3,,,
15238,97,Chestnut Hill to Norristown TC,3,,,
15365,98,Plymouth Meeting to Norristown TC,3,,,
15240,99,Phoenixville to Norristown TC,3,,,
15241,BSL,ATT Station to Fern Rock TC,1,FF9933,000000,
15341,BSO,Midnight-5am Service (Bus) for BSL,3,,,
15342,G,Overbk/LankMC to ColCom/FdDstCtr,3,,,
15343,H,Broad-Erie to Cheltenham-Ogontz,3,,,
15346,J,Chelten-Wisshkn to Richmond-Orthodx,3,,,
15347,K,Ridge-Midvale to Arrott TC,3,,,
15349,L,Erdenheim/PlymouthMtngMall to Olney,3,,,
15189,LUCYGO,Gold Loop through University City,3,,,
15190,LUCYGR,Green Loop through University City,3,,,
15243,MFL,Frankford TC to 69th St TC    ,1,0000DF,FFFFFF,
15350,MFO,Midnight-5am Service (Bus) for MFL,3,,,
15217,NHSL,Norristown TC to 69th St TC,0,A033B3,FFFFFF,
15351,R,Henry-Mid or WissTC to FrankfordTC,3,,,
15361,XH,Broad-Erie to Cheltenham-Ogontz,3,,,
