route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
PAO,M1,PAO_5728_V55_M,Center City Philadelphia,5728,5728,516007,0
CHE,M1,CHE_735_V5_M,Center City Philadelphia,735,735,720007,1
WIL,M3,WIL_9203_V6_M,Wilminton,9203,9203,007205,1
CHE,M4,CHE_735_V77_M,Center City Philadelphia,735,735,720007,1
TRE,M1,TRE_758_V5_M,Center City Philadelphia,758,758,701004,0
FOX,M4,FOX_836_V7_M,Fox Chase,836,836,004815,0
PAO,M3,PAO_540_V66_M,Center City Philadelphia,540,540,505004,0
TRE,M1,TRE_707_V5_M,Trenton,707,707,007701,1
TRE,M4,TRE_707_V77_M,Trenton,707,707,007701,1
WAR,M1,WAR_403_V1_M,Center City Philadelphia,403,403,411007,1
NOR,M4,NOR_210_V7_M,Norristown - Elm Street,210,210,406228,0
PAO,M2,PAO_1500_V5_M,Center City Philadelphia,1500,1500,501006,0
WAR,M1,WAR_437_V5_M,Center City Philadelphia,437,437,417007,1
WTR,M4,WTR_309_V77_M,Center City Philadelphia,309,309,327007,1
WAR,M1,WAR_468_V5_M,Warminster,468,468,406417,0
WIL,M4,WIL_230_V7_M,Center City Philadelphia,230,230,203406,0
TRE,M4,TRE_703_V77_M,Trenton,703,703,007701,1
AIR,M1,AIR_9442_V1_M,Center City Philadelphia,9442,9442,401007,0
FOX,M1,FOX_811_V5_M,Center City Philadelphia,811,811,815007,1
MED,M4,MED_324_V77_M,Center City Philadelphia,324,324,301406,0
FOX,M1,FOX_826_V5_M,Fox Chase,826,826,004815,0
AIR,M3,AIR_412_V66_M,Center City Philadelphia,412,412,401406,0
PAO,M4,PAO_556_V77_M,Center City Philadelphia,556,556,505004,0
CHE,M1,CHE_6737_V5_M,Center City Philadelphia,6737,6737,720004,1
CHW,M1,CHW_852_V5_M,Center City Philadelphia,852,852,801004,0
NOR,M1,NOR_8266_V5_M,Norristown - Elm Street,8266,8266,004228,0
