"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"CYN","SID184599","CYN1052_20250902","Suburban Station","0","1052","001005","1"
"CYN","SID184599","CYN1055_20250902","Cynwyd","1","1055","005001","1"
"CYN","SID184599","CYN1081_20250902","Cynwyd","1","1081","005001","1"
"CYN","SID184599","CYN1082_20250902","Suburban Station","0","1082","001005","1"
"CYN","SID184599","CYN1083_20250902","Cynwyd","1","1083","005001","1"
"CYN","SID184599","CYN1084_20250902","Suburban Station","0","1084","001005","1"
"CYN","SID184599","CYN1085_20250902","Cynwyd","1","1085","005001","1"
"NOR","SID184599","NOR201_20250902","Center City Philadelphia","1","201","228004","1"
"WIL","SID184599","WIL201_20250902","Newark DE","1","201","007201","1"
"NOR","SID184601","NOR201_20250831","Center City Philadelphia","1","201","228004","1"
"WIL","SID184601","WIL201_20250831","Wilmington","1","201","007201","1"
"WIL","SID184599","WIL202_20250902","Center City Philadelphia","0","202","201007","1"
"NOR","SID184599","NOR202_20250902","Norristown Elm Street","0","202","004228","1"
"WIL","SID184601","WIL202_20250831","Center City Philadelphia","0","202","201007","1"
"NOR","SID184601","NOR202_20250831","Norristown Elm Street","0","202","004228","1"
"NOR","SID184601","NOR203_20250831","Center City Philadelphia","1","203","228004","1"
"WIL","SID184601","WIL203_20250831","Wilmington","1","203","007201","1"
"WIL","SID184599","WIL204_20250902","Center City Philadelphia","0","204","201007","1"
"NOR","SID184599","NOR204_20250902","Norristown Elm Street","0","204","004228","1"
"NOR","SID184599","NOR205_20250902","Center City Philadelphia","1","205","228004","1"
"WIL","SID184599","WIL205_20250902","Wilmington","1","205","007201","1"
"WIL","SID184599","WIL206_20250902","Center City Philadelphia","0","206","201007","1"
"NOR","SID184599","NOR206_20250902","Norristown Elm Street","0","206","004228","1"
"WIL","SID184599","WIL210_20250902","Center City Philadelphia","0","210","201007","1"
"NOR","SID184599","NOR210_20250902","Norristown Elm Street","0","210","004228","1"
"WIL","SID184601","WIL210_20250831","Center City Philadelphia","0","210","201007","1"
"NOR","SID184601","NOR210_20250831","Norristown Elm Street","0","210","004228","1"
"NOR","SID184599","NOR213_20250902","Center City Philadelphia","1","213","228004","1"
"WIL","SID184599","WIL213_20250902","Wilmington","1","213","007201","1"
"NOR","SID184601","NOR213_20250831","Center City Philadelphia","1","213","228004","1"
"WIL","SID184601","WIL213_20250831","Wilmington","1","213","007201","1"
"WIL","SID184599","WIL214_20250902","Center City Philadelphia","0","214","201007","1"
"NOR","SID184599","NOR214_20250902","Norristown Elm Street","0","214","004228","1"
"WIL","SID184601","WIL218_20250831","Center City Philadelphia","0","218","201007","1"
"NOR","SID184601","NOR218_20250831","Norristown Elm Street","0","218","004228","1"
"NOR","SID184599","NOR221_20250902","Center City Philadelphia","1","221","228004","1"
"WIL","SID184599","WIL221_20250902","Marcus Hook","1","221","007201","1"
"NOR","SID184601","NOR221_20250831","Center City Philadelphia","1","221","228004","1"
"WIL","SID184601","WIL221_20250831","Wilmington","1","221","007201","1"
"WIL","SID184599","WIL222_20250902","Center City Philadelphia","0","222","201007","1"
"NOR","SID184599","NOR222_20250902","Norristown Elm Street","0","222","004228","1"
"NOR","SID184599","NOR225_20250902","Center City Philadelphia","1","225","228004","1"
"WIL","SID184599","WIL225_20250902","Wilmington","1","225","007201","1"
"WIL","SID184601","WIL226_20250831","Center City Philadelphia","0","226","201007","1"
"NOR","SID184601","NOR226_20250831","Norristown Elm Street","0","226","004228","1"
"NOR","SID184599","NOR229_20250902","Center City Philadelphia","1","229","228004","1"
"WIL","SID184599","WIL229_20250902","Wilmington","1","229","007201","1"
