trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
3102,05:43:00,05:43:00,7,7,,0,0,
3102,05:40:00,05:40:00,8,6,,0,0,
3102,05:38:00,05:38:00,9,5,,0,0,
3103,06:11:00,06:11:00,1,13,,0,0,
3103,05:49:00,05:49:00,10,4,,0,0,
3103,05:47:00,05:47:00,11,3,,0,0,
3103,05:46:00,05:46:00,12,2,,0,0,
3103,05:45:00,05:45:00,13,1,,0,0,
3103,06:08:00,06:08:00,2,12,,0,0,
3103,06:07:00,06:07:00,3,11,,0,0,
3103,06:04:00,06:04:00,4,10,,0,0,
3103,06:02:00,06:02:00,5,9,,0,0,
3103,06:00:00,06:00:00,6,8,,0,0,
3103,05:58:00,05:58:00,7,7,,0,0,
3103,05:55:00,05:55:00,8,6,,0,0,
3103,05:53:00,05:53:00,9,5,,0,0,
3104,06:26:00,06:26:00,1,13,,0,0,
3104,06:04:00,06:04:00,10,4,,0,0,
3104,06:02:00,06:02:00,11,3,,0,0,
3104,06:01:00,06:01:00,12,2,,0,0,
3104,06:00:00,06:00:00,13,1,,0,0,
3104,06:23:00,06:23:00,2,12,,0,0,
3104,06:22:00,06:22:00,3,11,,0,0,
3104,06:19:00,06:19:00,4,10,,0,0,
3104,06:17:00,06:17:00,5,9,,0,0,
3104,06:15:00,06:15:00,6,8,,0,0,
3104,06:13:00,06:13:00,7,7,,0,0,
3104,06:10:00,06:10:00,8,6,,0,0,
3104,06:08:00,06:08:00,9,5,,0,0,
3105,06:41:00,06:41:00,1,13,,0,0,
3105,06:19:00,06:19:00,10,4,,0,0,
3105,06:17:00,06:17:00,11,3,,0,0,
3105,06:16:00,06:16:00,12,2,,0,0,
3105,06:15:00,06:15:00,13,1,,0,0,
3105,06:38:00,06:38:00,2,12,,0,0,
3105,06:37:00,06:37:00,3,11,,0,0,
3105,06:34:00,06:34:00,4,10,,0,0,
3105,06:32:00,06:32:00,5,9,,0,0,
3105,06:30:00,06:30:00,6,8,,0,0,
3105,06:28:00,06:28:00,7,7,,0,0,
3105,06:25:00,06:25:00,8,6,,0,0,
3105,06:23:00,06:23:00,9,5,,0,0,
3106,06:54:00,06:54:00,1,13,,0,0,
3106,06:32:00,06:32:00,10,4,,0,0,
3106,06:30:00,06:30:00,11,3,,0,0,
3106,06:29:00,06:29:00,12,2,,0,0,
3106,06:28:00,06:28:00,13,1,,0,0,
3106,06:51:00,06:51:00,2,12,,0,0,
3106,06:50:00,06:50:00,3,11,,0,0,
3106,06:47:00,06:47:00,4,10,,0,0,
3106,06:45:00,06:45:00,5,9,,0,0,
3106,06:43:00,06:43:00,6,8,,0,0,
3106,06:41:00,06:41:00,7,7,,0,0,
3106,06:38:00,06:38:00,8,6,,0,0,
3106,06:36:00,06:36:00,9,5,,0,0,
3107,07:06:00,07:06:00,1,13,,0,0,
3107,06:44:00,06:44:00,10,4,,0,0,
3107,06:42:00,06:42:00,11,3,,0,0,
3107,06:41:00,06:41:00,12,2,,0,0,
3107,06:40:00,06:40:00,13,1,,0,0,
3107,07:03:00,07:03:00,2,12,,0,0,
3107,07:02:00,07:02:00,3,11,,0,0,
3107,06:59:00,06:59:00,4,10,,0,0,
3107,06:57:00,06:57:00,5,9,,0,0,
3107,06:55:00,06:55:00,6,8,,0,0,
3107,06:53:00,06:53:00,7,7,,0,0,
3107,06:50:00,06:50:00,8,6,,0,0,
3107,06:48:00,06:48:00,9,5,,0,0,
3108,07:17:00,07:17:00,1,13,,0,0,
3108,06:55:00,06:55:00,10,4,,0,0,
3108,06:53:00,06:53:00,11,3,,0,0,
3108,06:52:00,06:52:00,12,2,,0,0,
3108,06:51:00,06:51:00,13,1,,0,0,
3108,07:14:00,07:14:00,2,12,,0,0,
3108,07:13:00,07:13:00,3,11,,0,0,
3108,07:10:00,07:10:00,4,10,,0,0,
3108,07:08:00,07:08:00,5,9,,0,0,
3108,07:06:00,07:06:00,6,8,,0,0,
3108,07:04:00,07:04:00,7,7,,0,0,
3108,07:01:00,07:01:00,8,6,,0,0,
3108,06:59:00,06:59:00,9,5,,0,0,
3109,07:26:00,07:26:00,1,13,,0,0,
3109,07:04:00,07:04:00,10,4,,0,0,
3109,07:02:00,07:02:00,11,3,,0,0,
3109,07:01:00,07:01:00,12,2,,0,0,
3109,07:00:00,07:00:00,13,1,,0,0,
3109,07:23:00,07:23:00,2,12,,0,0,
3109,07:22:00,07:22:00,3,11,,0,0,
3109,07:19:00,07:19:00,4,10,,0,0,
3109,07:17:00,07:17:00,5,9,,0,0,
3109,07:15:00,07:15:00,6,8,,0,0,
3109,07:13:00,07:13:00,7,7,,0,0,
3109,07:10:00,07:10:00,8,6,,0,0,
3109,07:08:00,07:08:00,9,5,,0,0,
3110,07:36:00,07:36:00,1,13,,0,0,
3110,07:14:00,07:14:00,10,4,,0,0,
3110,07:12:00,07:12:00,11,3,,0,0,
3110,07:11:00,07:11:00,12,2,,0,0,
3110,07:10:00,07:10:00,13,1,,0,0,
3110,07:33:00,07:33:00,2,12,,0,0,
3110,07:32:00,07:32:00,3,11,,0,0,
3110,07:29:00,07:29:00,4,10,,0,0,
3110,07:27:00,07:27:00,5,9,,0,0,
3110,07:25:00,07:25:00,6,8,,0,0,
3110,07:23:00,07:23:00,7,7,,0,0,
3110,07:20:00,07:20:00,8,6,,0,0,
3110,07:18:00,07:18:00,9,5,,0,0,
3111,07:46:00,07:46:00,1,13,,0,0,
3111,07:24:00,07:24:00,10,4,,0,0,
3111,07:22:00,07:22:00,11,3,,0,0,
3111,07:21:00,07:21:00,12,2,,0,0,
3111,07:20:00,07:20:00,13,1,,0,0,
3111,07:43:00,07:43:00,2,12,,0,0,
3111,07:42:00,07:42:00,3,11,,0,0,
3111,07:39:00,07:39:00,4,10,,0,0,
3111,07:37:00,07:37:00,5,9,,0,0,
3111,07:35:00,07:35:00,6,8,,0,0,
3111,07:33:00,07:33:00,7,7,,0,0,
3111,07:30:00,07:30:00,8,6,,0,0,
3111,07:28:00,07:28:00,9,5,,0,0,
3112,08:00:00,08:00:00,1,13,,0,0,
3112,07:38:00,07:38:00,10,4,,0,0,
3112,07:36:00,07:36:00,11,3,,0,0,
3112,07:35:00,07:35:00,12,2,,0,0,
3112,07:34:00,07:34:00,13,1,,0,0,
3112,07:57:00,07:57:00,2,12,,0,0,
3112,07:56:00,07:56:00,3,11,,0,0,
3112,07:53:00,07:53:00,4,10,,0,0,
3112,07:51:00,07:51:00,5,9,,0,0,
3112,07:49:00,07:49:00,6,8,,0,0,
3112,07:47:00,07:47:00,7,7,,0,0,
3112,07:44:00,07:44:00,8,6,,0,0,
3112,07:42:00,07:42:00,9,5,,0,0,
3113,08:08:00,08:08:00,1,13,,0,0,
3113,07:46:00,07:46:00,10,4,,0,0,
3113,07:44:00,07:44:00,11,3,,0,0,
3113,07:43:00,07:43:00,12,2,,0,0,
3113,07:42:00,07:42:00,13,1,,0,0,
3113,08:05:00,08:05:00,2,12,,0,0,
3113,08:04:00,08:04:00,3,11,,0,0,
3113,08:01:00,08:01:00,4,10,,0,0,
3113,07:59:00,07:59:00,5,9,,0,0,
3113,07:57:00,07:57:00,6,8,,0,0,
3113,07:55:00,07:55:00,7,7,,0,0,
3113,07:52:00,07:52:00,8,6,,0,0,
3113,07:50:00,07:50:00,9,5,,0,0,
