service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20190224,20190608
12,0,0,0,0,0,1,0,20190224,20190608
13,0,0,0,0,0,0,1,20190224,20190608
16,1,1,1,1,1,0,0,20190224,20190608
18,0,0,0,0,0,1,0,20190224,20190608
19,0,0,0,0,0,0,1,20190224,20190608
22,1,1,1,1,1,0,0,20190224,20190608
24,0,0,0,0,0,1,0,20190224,20190608
25,0,0,0,0,0,0,1,20190224,20190608
28,1,1,1,1,1,0,0,20190224,20190608
30,0,0,0,0,0,1,0,20190224,20190608
31,0,0,0,0,0,0,1,20190224,20190608
40,1,1,1,1,1,0,0,20190224,20190608
42,0,0,0,0,0,1,0,20190224,20190608
43,0,0,0,0,0,0,1,20190224,20190608
46,1,1,1,1,1,0,0,20190224,20190608
48,0,0,0,0,0,1,0,20190224,20190608
49,0,0,0,0,0,0,1,20190224,20190608
52,1,1,1,1,1,0,0,20190224,20190608
54,0,0,0,0,0,1,0,20190224,20190608
55,0,0,0,0,0,0,1,20190224,20190608
