route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
WTR,M1,WTR_3507_V5_M,Center City Philadelphia,3507,3507,327004,1
PAO,M1,PAO_581_V5_M,Malvern,581,581,007505,1
AIR,M3,AIR_9446_V66_M,Center City Philadelphia,9446,9446,401007,0
WIL,M1,WIL_1293_V5_M,Wilminton,1293,1293,005203,1
WIL,M3,WIL_5227_V6_M,Marcus Hook,5227,5227,007205,1
NOR,M1,NOR_274_V59_M,Norristown - Elm Street,274,274,406228,0
NOR,M4,NOR_2315_V7_M,Center City Philadelphia,2315,2315,228007,1
CHE,M4,CHE_709_V77_M,Center City Philadelphia,709,709,720007,1
WIL,M1,WIL_2372_V5_M,Center City Philadelphia,2372,2372,205406,0
WAR,M4,WAR_408_V77_M,Warminster,408,408,406417,0
PAO,M1,PAO_556_V55_M,Center City Philadelphia,556,556,505004,0
MED,M3,MED_2319_V6_M,Elwyn,2319,2319,007301,1
LAN,M3,LAN_5217_V6_M,Center City Philadelphia,5217,5217,538007,1
AIR,M3,AIR_425_V66_M,Airport Terminal E F,425,425,007401,1
CHW,M1,CHW_864_V5_M,Center City Philadelphia,864,864,801004,0
CHE,M3,CHE_705_V66_M,Center City Philadelphia,705,705,720007,1
LAN,M1,LAN_545_V55_M,Center City Philadelphia,545,545,534007,1
LAN,M1,LAN_556_V55_M,Doylestown,556,556,004538,0
PAO,M3,PAO_3561_V6_M,Thorndale,3561,3561,007501,1
WIL,M3,WIL_2516_V6_M,Center City Philadelphia,2516,2516,205406,0
PAO,M1,PAO_567_V55_M,Bryn Mawr,567,567,007516,1
AIR,M3,AIR_445_V66_M,Airport Terminal E F,445,445,007401,1
WTR,M1,WTR_6370_V55_M,West Trenton,6370,6370,004327,0
LAN,M1,LAN_588_V5_M,Doylestown,588,588,004538,0
FOX,M3,FOX_870_V6_M,Fox Chase,870,870,004815,0
PAO,M1,PAO_568_V4_M,Center City Philadelphia,568,568,505004,0
MED,M1,MED_392_V5_M,Center City Philadelphia,392,392,301406,0
PAO,M1,PAO_592_V55_M,Center City Philadelphia,592,592,501004,0
AIR,M3,AIR_9430_V66_M,Center City Philadelphia,9430,9430,401007,0
AIR,M4,AIR_474_V77_M,Center City Philadelphia,474,474,401406,0
TRE,M1,TRE_9784_V5_M,Center City Philadelphia,9784,9784,701007,0
CHW,M3,CHW_826_V6_M,Center City Philadelphia,826,826,801004,0
MED,M4,MED_3210_V7_M,Center City Philadelphia,3210,3210,301406,0
PAO,M4,PAO_5300_V7_M,Center City Philadelphia,5300,5300,505004,0
AIR,M1,AIR_464_V5_M,Center City Philadelphia,464,464,401406,0
AIR,M1,AIR_445_V5_M,Airport Terminal E F,445,445,007401,1
MED,M1,MED_9346_V55_M,Center City Philadelphia,9346,9346,301007,0
TRE,M1,TRE_707_V5_M,Trenton,707,707,007701,1
TRE,M4,TRE_9701_V77_M,Trenton,9701,9701,007701,1
CHE,M4,CHE_722_V77_M,Chestnut Hill East,722,722,004720,0
CHW,M1,CHW_838_V5_M,Center City Philadelphia,838,838,801004,0
NOR,M1,NOR_5226_V5_M,Norristown - Elm Street,5226,5226,004228,0
NOR,M4,NOR_3228_V7_M,Norristown - Elm Street,3228,3228,406228,0
NOR,M1,NOR_2367_V5_M,Center City Philadelphia,2367,2367,228007,1
AIR,M3,AIR_412_V66_M,Center City Philadelphia,412,412,401406,0
CHW,M1,CHW_827_V5_M,Chestnut Hill West,827,827,007801,1
LAN,M1,LAN_548_V55_M,Doylestown,548,548,004538,0
PAO,M4,PAO_5324_V7_M,Center City Philadelphia,5324,5324,505004,0
CHE,M4,CHE_716_V77_M,Chestnut Hill East,716,716,004720,0
MED,M4,MED_2325_V7_M,Elwyn,2325,2325,007301,1
TRE,M1,TRE_3755_V5_M,Trenton,3755,3755,007701,1
AIR,M3,AIR_9462_V66_M,Center City Philadelphia,9462,9462,401007,0
WAR,M4,WAR_436_V77_M,Warminster,436,436,406417,0
TRE,M1,TRE_726_V5_M,Center City Philadelphia,726,726,701004,0
WIL,M3,WIL_2506_V6_M,Center City Philadelphia,2506,2506,203406,0
CHE,M1,CHE_7843_V55_M,Center City Philadelphia,7843,7843,720007,1
NOR,M1,NOR_6223_V5_M,Center City Philadelphia,6223,6223,228004,1
CHE,M1,CHE_738_V5_M,Chestnut Hill East,738,738,004720,0
AIR,M3,AIR_432_V66_M,Center City Philadelphia,432,432,401406,0
WIL,M1,WIL_1203_V5_M,Wilminton,1203,1203,005201,1
WTR,M1,WTR_6310_V5_M,West Trenton,6310,6310,004327,0
WIL,M4,WIL_2522_V7_M,Center City Philadelphia,2522,2522,203406,0
TRE,M4,TRE_9737_V77_M,Trenton,9737,9737,007701,1
MED,M1,MED_3238_V5_M,Center City Philadelphia,3238,3238,301406,0
AIR,M1,AIR_437_V5_M,Airport Terminal E F,437,437,007401,1
WIL,M3,WIL_2514_V6_M,Center City Philadelphia,2514,2514,203406,0
AIR,M3,AIR_472_V66_M,Center City Philadelphia,472,472,401406,0
NOR,M1,NOR_273_V5_M,Center City Philadelphia,273,273,228007,1
WIL,M3,WIL_2500_V6_M,Center City Philadelphia,2500,2500,205406,0
PAO,M4,PAO_3549_V7_M,Malvern,3549,3549,007505,1
NOR,M3,NOR_3204_V6_M,Norristown - Elm Street,3204,3204,406228,0
CHE,M4,CHE_728_V77_M,Chestnut Hill East,728,728,004720,0
NOR,M1,NOR_2301_V5_M,Center City Philadelphia,2301,2301,228406,1
FOX,M4,FOX_837_V7_M,Center City Philadelphia,837,837,815007,1
WIL,M4,WIL_2514_V7_M,Center City Philadelphia,2514,2514,203406,0
PAO,M1,PAO_523_V55_M,Malvern,523,523,007505,1
TRE,M4,TRE_9736_V77_M,Center City Philadelphia,9736,9736,701007,0
AIR,M3,AIR_409_V66_M,Airport Terminal E F,409,409,007401,1
FOX,M4,FOX_813_V7_M,Center City Philadelphia,813,813,815007,1
MED,M3,MED_2331_V6_M,Elwyn,2331,2331,007301,1
CHW,M1,CHW_8246_V5_M,Center City Philadelphia,8246,8246,801004,0
MED,M3,MED_3218_V6_M,Center City Philadelphia,3218,3218,301406,0
CHW,M4,CHW_861_V7_M,Chestnut Hill West,861,861,007801,1
CHE,M3,CHE_722_V66_M,Chestnut Hill East,722,722,004720,0
MED,M4,MED_2313_V7_M,Elwyn,2313,2313,007301,1
MED,M1,MED_3236_V5_M,Center City Philadelphia,3236,3236,301406,0
NOR,M3,NOR_5264_V66_M,Norristown - Elm Street,5264,5264,004228,0
WAR,M3,WAR_461_V66_M,Center City Philadelphia,461,461,417007,1
MED,M3,MED_3232_V6_M,Center City Philadelphia,3232,3232,301406,0
NOR,M1,NOR_220_V5_M,Norristown - Elm Street,220,220,406228,0
WIL,M1,WIL_2420_V55_M,Center City Philadelphia,2420,2420,203406,0
TRE,M3,TRE_9736_V66_M,Center City Philadelphia,9736,9736,701007,0
AIR,M1,AIR_418_V5_M,Center City Philadelphia,418,418,401406,0
WAR,M3,WAR_437_V66_M,Center City Philadelphia,437,437,417007,1
WIL,M4,WIL_2508_V7_M,Center City Philadelphia,2508,2508,205406,0
WAR,M4,WAR_460_V77_M,Warminster,460,460,406417,0
TRE,M4,TRE_730_V77_M,Center City Philadelphia,730,730,701004,0
MED,M3,MED_3222_V6_M,Center City Philadelphia,3222,3222,301406,0
LAN,M1,LAN_5315_V5_M,Center City Philadelphia,5315,5315,533007,1
AIR,M3,AIR_9451_V66_M,Airport,9451,9451,007401,1
AIR,M1,AIR_452_V5_M,Center City Philadelphia,452,452,401406,0
NOR,M1,NOR_6248_V5_M,Norristown,6248,6248,004227,0
WAR,M4,WAR_416_V77_M,Warminster,416,416,406417,0
AIR,M1,AIR_444_V5_M,Center City Philadelphia,444,444,401406,0
WTR,M1,WTR_6305_V55_M,Center City Philadelphia,6305,6305,327004,1
AIR,M1,AIR_4706_V5_M,Center City Philadelphia,4706,4706,401406,0
WIL,M1,WIL_4269_V5_M,Wilmington,4269,4269,007203,1
WIL,M3,WIL_2522_V6_M,Center City Philadelphia,2522,2522,203406,0
FOX,M1,FOX_853_V5_M,Center City Philadelphia,853,853,815007,1
PAO,M4,PAO_3513_V7_M,Malvern,3513,3513,007505,1
AIR,M1,AIR_8471_V55_M,Airport Terminal E F,8471,8471,007401,1
NOR,M3,NOR_2327_V6_M,Center City Philadelphia,2327,2327,228007,1
WIL,M4,WIL_2520_V7_M,Center City Philadelphia,2520,2520,205406,0
AIR,M3,AIR_424_V66_M,Center City Philadelphia,424,424,401406,0
WIL,M3,WIL_2528_V6_M,Center City Philadelphia,2528,2528,205406,0
WAR,M1,WAR_416_V5_M,Warminster,416,416,406417,0
PAO,M4,PAO_3537_V7_M,Malvern,3537,3537,007505,1
WTR,M1,WTR_6335_V1_M,Center City Philadelphia,6335,6335,323004,1
TRE,M3,TRE_725_V66_M,Trenton,725,725,007701,1
WIL,M1,WIL_9235_V55_M,Wilminton,9235,9235,007203,1
WTR,M1,WTR_6303_V55_M,Center City Philadelphia,6303,6303,327004,1
WTR,M4,WTR_5348_V7_M,West Trenton,5348,5348,004327,0
CHE,M3,CHE_734_V66_M,Chestnut Hill East,734,734,004720,0
WTR,M4,WTR_3521_V7_M,Center City Philadelphia,3521,3521,327007,1
NOR,M4,NOR_2303_V7_M,Center City Philadelphia,2303,2303,228007,1
WIL,M4,WIL_2526_V7_M,Center City Philadelphia,2526,2526,203406,0
CHW,M1,CHW_7841_V5_M,Chestnut Hill West,7841,7841,007801,1
CHE,M4,CHE_723_V77_M,Center City Philadelphia,723,723,720007,1
AIR,M1,AIR_403_V1_M,Airport Terminal E F,403,403,007401,1
MED,M4,MED_3236_V7_M,Center City Philadelphia,3236,3236,301406,0
PAO,M4,PAO_3557_V7_M,Malvern,3557,3557,007505,1
AIR,M4,AIR_9447_V77_M,Airport,9447,9447,007401,1
WIL,M4,WIL_5223_V7_M,Marcus Hook,5223,5223,007205,1
WAR,M4,WAR_407_V77_M,Center City Philadelphia,407,407,411007,1
AIR,M3,AIR_420_V66_M,Center City Philadelphia,420,420,401406,0
WIL,M3,WIL_5239_V6_M,Wilmington,5239,5239,007203,1
AIR,M3,AIR_9443_V66_M,Airport,9443,9443,007401,1
TRE,M1,TRE_9728_V5_M,Center City Philadelphia,9728,9728,701007,0
WAR,M4,WAR_437_V77_M,Center City Philadelphia,437,437,417007,1
PAO,M3,PAO_5336_V6_M,Center City Philadelphia,5336,5336,506004,0
CHE,M3,CHE_4700_V6_M,Chestnut Hill East,4700,4700,406720,0
LAN,M1,LAN_570_V5_M,Lansdale,570,570,004531,0
CHE,M1,CHE_6754_V5_M,Chestnut Hill East,6754,6754,004720,0
CHE,M3,CHE_728_V66_M,Chestnut Hill East,728,728,004720,0
WIL,M3,WIL_5213_V6_M,Wilmington,5213,5213,007203,1
PAO,M1,PAO_598_V51_M,Center City Philadelphia,598,598,501004,0
CHW,M4,CHW_824_V7_M,Center City Philadelphia,824,824,801004,0
FOX,M3,FOX_823_V6_M,Center City Philadelphia,823,823,815007,1
MED,M4,MED_5341_V77_M,Elwyn,5341,5341,007301,1
MED,M4,MED_2323_V7_M,Elwyn,2323,2323,007301,1
PAO,M1,PAO_584_V5_M,Center City Philadelphia,584,584,501004,0
LAN,M4,LAN_2528_V7_M,Doylestown,2528,2528,406538,0
AIR,M4,AIR_445_V77_M,Airport Terminal E F,445,445,007401,1
TRE,M3,TRE_704_V66_M,Center City Philadelphia,704,704,701004,0
TRE,M4,TRE_729_V77_M,Trenton,729,729,007701,1
NOR,M1,NOR_3234_V5_M,Norristown - Elm Street,3234,3234,406228,0
CHE,M4,CHE_711_V77_M,Center City Philadelphia,711,711,720007,1
PAO,M1,PAO_531_V55_M,Malvern,531,531,007505,1
