route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
CHE,M3,CHE_703_V37_M,Center City Philadelphia,703,703,720005,1
WAR,M1,WAR_401_V50_M,30th Street Station,401,401,407004,1
NOR,M1,NOR_3204_V50_M,Norristown - Elm Street,3204,3204,004228,0
WIL,M2,WIL_2205_V46_M,Wilmington,2205,2205,004203,1
CHW,M3,CHW_8360_V58_M,Center City Philadelphia,8360,8360,801005,0
NOR,M2,NOR_228_V26_M,Norristown - Elm Street,228,228,004228,0
NOR,M2,NOR_235_V27_M,30th Street Station,235,235,228004,1
AIR,M3,AIR_4410_V47_M,30th Street Station,4410,4410,401004,0
FOX,M3,FOX_3866_V37_M,Fox Chase,3866,3866,004815,0
LAN,M1,LAN_5217_V51_M,30th Street Station,5217,5217,538004,1
TRE,M3,TRE_9701_V37_M,Trenton,9701,9701,007701,1
PAO,M1,PAO_5438_V55_M,Center City Philadelphia,5438,5438,501005,0
NOR,M3,NOR_232_V37_M,Norristown - Elm Street,232,232,004228,0
CC,M3,CC_9488_V47_M,Temple University,9488,9488,004007,0
LAN,M1,LAN_2500_V50_M,Doylestown,2500,2500,004538,0
FOX,M1,FOX_8415_V55_M,Powelton Yard,8415,8415,815004,1
CHW,M1,CHW_9818_V55_M,Temple University,9818,9818,801007,0
WTR,M2,WTR_8328_V1_M,West Trenton,8328,8328,005327,0
MED,M1,MED_3323_V45_M,Elwyn,3323,3323,314301,1
TRE,M2,TRE_722_V26_M,Center City Philadelphia,722,722,701005,0
PAO,M2,PAO_515_V25_M,Thorndale,515,515,005501,1
WAR,M3,WAR_404_V58_M,Glenside,404,404,004411,0
AIR,M1,AIR_4442_V45_M,30th Street Station,4442,4442,401004,0
WIL,M1,WIL_2213_V45_M,Newark,2213,2213,004201,1
WAR,M1,WAR_472_V50_M,Warminster,472,472,004417,0
TRE,M3,TRE_738_V37_M,Center City Philadelphia,738,738,701005,0
AIR,M1,AIR_4401_V45_M,Airport Terminal E F,4401,4401,004401,1
WTR,M2,WTR_3807_V63_M,Center City Philadelphia,3807,3807,327005,1
CHW,M1,CHW_8756_V55_M,Center City Philadelphia,8756,8756,801005,0
LAN,M1,LAN_5221_V51_M,30th Street Station,5221,5221,538004,1
NOR,M3,NOR_235_V37_M,30th Street Station,235,235,228004,1
AIR,M2,AIR_4442_V46_M,30th Street Station,4442,4442,401004,0
WIL,M2,WIL_2213_V46_M,Wilmington,2213,2213,004203,1
